Date,Area,Animal Crimes,Arson & Explosives,Conspiracy & Miscellaneous,Drug-Related Crimes,Fraud Crimes,Other,Property Crimes,Public Disorder Crimes,Sexual Crimes,Theft Crimes,Violent Crimes,child_crimes,Total Crimes
2022-08-14,Santa Monica,0,0,0,0,4,15,28,13,5,158,45,2,270
2022-08-14,South Bay Cities,0,0,0,0,1,9,20,12,5,70,56,0,173
2022-08-14,South Gate-East Los Angeles,1,1,0,0,0,9,17,13,3,101,89,0,234
2022-08-21,Los Angeles,1,10,0,0,13,98,257,131,39,1242,725,10,2526
2022-08-21,San Fernando Valley,0,1,0,0,13,67,105,60,25,630,301,8,1210
2022-08-21,Santa Monica,0,0,0,0,3,11,31,7,3,151,40,0,246
2022-08-21,South Bay Cities,0,1,0,0,0,2,23,8,3,86,53,1,177
2022-08-21,South Gate-East Los Angeles,0,2,0,0,1,5,18,14,5,85,74,1,205
2022-08-28,Los Angeles,1,2,0,0,8,109,259,151,46,1295,720,5,2596
2022-08-28,San Fernando Valley,2,3,0,0,16,45,120,68,23,634,309,6,1226
2022-08-28,Santa Monica,0,0,0,0,0,13,29,5,3,147,34,1,232
2022-08-28,South Bay Cities,0,0,0,0,0,8,18,7,1,80,56,0,170
2022-08-28,South Gate-East Los Angeles,0,0,0,0,0,12,23,13,2,69,79,1,199
2022-09-04,Los Angeles,1,5,0,0,19,115,265,131,59,1638,684,18,2935
2022-09-04,San Fernando Valley,1,5,0,0,10,47,113,64,21,936,295,7,1499
2022-09-04,Santa Monica,0,3,0,0,1,16,19,13,3,164,53,2,274
2022-09-04,South Bay Cities,0,0,0,0,1,8,17,17,6,101,55,1,206
2022-09-04,South Gate-East Los Angeles,0,0,0,0,2,5,21,17,2,149,95,0,291
2022-09-11,Los Angeles,0,8,0,1,29,117,241,129,40,1267,747,8,2587
2022-09-11,San Fernando Valley,0,5,0,0,11,43,132,62,21,658,267,4,1203
2022-09-11,Santa Monica,0,1,0,0,5,12,23,11,4,132,50,0,238
