"Label (Grouping)","Population 3 years and over enrolled in school","Nursery school, preschool","Kindergarten to 12th grade","Kindergarten to 12th grade!!Kindergarten","Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Kindergarten to 12th grade!!High school: grade 9 to grade 12","College, undergraduate","Graduate, professional school","Percent of age group enrolled in school --","Percent of age group enrolled in school --!!3 and 4 years","Percent of age group enrolled in school --!!5 to 9 years","Percent of age group enrolled in school --!!10 to 14 years","Percent of age group enrolled in school --!!15 to 17 years","Percent of age group enrolled in school --!!18 and 19 years","Percent of age group enrolled in school --!!20 to 24 years","Percent of age group enrolled in school --!!25 to 34 years","Percent of age group enrolled in school --!!35 years and over","Population 18 years and over","Enrolled in college or graduate school","Enrolled in college or graduate school!!Males 18 years and over","Enrolled in college or graduate school","Enrolled in college or graduate school!!Females 18 years and over","Enrolled in college or graduate school","Population 18 to 24 years","Enrolled in college or graduate school","Enrolled in college or graduate school!!Males 18 to 24 years","Enrolled in college or graduate school","Enrolled in college or graduate school!!Females 18 to 24 years","Enrolled in college or graduate school","PERCENT IMPUTED","PERCENT IMPUTED!!School enrollment","PERCENT IMPUTED!!Grade enrolled"
"            Estimate","86.7%","58.8%","91.3%","88.0%","92.2%","91.9%","90.8%","87.2%","49.3%","","59.9%","90.5%","91.4%","91.0%","91.3%","86.1%","72.9%","71.8%","(X)","80.9%","(X)","83.3%","(X)","78.9%","(X)","87.2%","(X)","90.5%","(X)","83.9%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","13.3%","41.2%","8.7%","12.0%","7.8%","8.1%","9.2%","12.8%","50.7%","","40.1%","9.5%","8.6%","9.0%","8.7%","13.9%","27.1%","28.2%","(X)","19.1%","(X)","16.7%","(X)","21.1%","(X)","12.8%","(X)","9.5%","(X)","16.1%","","(X)","(X)"
"Whittier CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","96,993","4,882","62,926","4,287","17,283","18,454","22,902","25,887","3,298","","51.2%","97.5%","98.7%","98.7%","79.0%","48.0%","15.2%","3.0%","238,782","12.1%","115,068","11.7%","123,714","12.4%","36,978","49.2%","18,739","46.9%","18,239","51.6%","","3.6%","6.2%"
"    Percent of enrolled population ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","83.2%","64.4%","89.1%","88.3%","88.0%","87.4%","91.5%","78.0%","38.0%","","64.7%","87.5%","87.8%","91.5%","80.6%","75.5%","73.3%","68.2%","(X)","73.2%","(X)","72.1%","(X)","74.2%","(X)","75.1%","(X)","73.4%","(X)","76.7%","","(X)","(X)"
"        In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","16.8%","35.6%","10.9%","11.7%","12.0%","12.6%","8.5%","22.0%","62.0%","","35.3%","12.5%","12.2%","8.5%","19.4%","24.5%","26.7%","31.8%","(X)","26.8%","(X)","27.9%","(X)","25.8%","(X)","24.9%","(X)","26.6%","(X)","23.3%","","(X)","(X)"
