"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"        Estimate","66,095","5,482","39,807","3,457","10,750","12,635","12,965","14,207","6,599","20,806","9,743","11,063","6,568","4,746","14,172","13,694","16,305","15,971","9,492","9,257","4,902","4,301","12,844","7,382","39,360","6,247","159,137","4,497","17,746","10,301","9,473","5,312","8,273","4,989"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.3%","60.2%","5.2%","16.3%","19.1%","19.6%","21.5%","10.0%","31.5%","29.5%","33.4%","(X)","72.3%","(X)","96.6%","(X)","98.0%","(X)","97.5%","(X)","87.7%","(X)","57.5%","(X)","15.9%","(X)","2.8%","(X)","58.0%","(X)","56.1%","(X)","60.3%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,547","31,510","2,620","8,717","10,083","10,090","10,415","2,188","12,603","5,890","6,713","(X)","1,436","(X)","10,296","(X)","12,953","(X)","7,089","(X)","3,193","(X)","4,682","(X)","3,377","(X)","2,634","(X)","6,794","(X)","3,571","(X)","3,223"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","69.1%","28.2%","79.2%","75.8%","81.1%","79.8%","77.8%","73.3%","33.2%","60.6%","60.5%","60.7%","(X)","30.3%","(X)","75.2%","(X)","81.1%","(X)","76.6%","(X)","74.2%","(X)","63.4%","(X)","54.1%","(X)","58.6%","(X)","66.0%","(X)","67.2%","(X)","64.6%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,935","8,297","837","2,033","2,552","2,875","3,792","4,411","8,203","3,853","4,350","(X)","3,310","(X)","3,398","(X)","3,018","(X)","2,168","(X)","1,108","(X)","2,700","(X)","2,870","(X)","1,863","(X)","3,507","(X)","1,741","(X)","1,766"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","30.9%","71.8%","20.8%","24.2%","18.9%","20.2%","22.2%","26.7%","66.8%","39.4%","39.5%","39.3%","(X)","69.7%","(X)","24.8%","(X)","18.9%","(X)","23.4%","(X)","25.8%","(X)","36.6%","(X)","45.9%","(X)","41.4%","(X)","34.0%","(X)","32.8%","(X)","35.4%"
"San Fernando Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","452,922","26,191","280,627","22,024","81,912","83,589","93,102","119,311","26,793","146,104","65,672","80,432","42,914","22,412","104,129","99,437","108,742","106,612","65,970","64,483","42,329","33,896","115,523","55,432","290,069","42,947","1,012,530","27,703","157,852","77,553","78,990","36,213","78,862","41,340"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.8%","62.0%","4.9%","18.1%","18.5%","20.6%","26.3%","5.9%","32.3%","29.5%","35.0%","(X)","52.2%","(X)","95.5%","(X)","98.0%","(X)","97.7%","(X)","80.1%","(X)","48.0%","(X)","14.8%","(X)","2.7%","(X)","49.1%","(X)","45.8%","(X)","52.4%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","13,318","245,560","18,350","71,900","72,572","82,738","101,644","13,846","115,490","52,816","62,674","(X)","11,017","(X)","85,200","(X)","93,231","(X)","57,084","(X)","29,929","(X)","46,716","(X)","31,316","(X)","19,875","(X)","66,094","(X)","31,466","(X)","34,628"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","82.7%","50.8%","87.5%","83.3%","87.8%","86.8%","88.9%","85.2%","51.7%","79.0%","80.4%","77.9%","(X)","49.2%","(X)","85.7%","(X)","87.4%","(X)","88.5%","(X)","88.3%","(X)","84.3%","(X)","72.9%","(X)","71.7%","(X)","85.2%","(X)","86.9%","(X)","83.8%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","12,873","35,067","3,674","10,012","11,017","10,364","17,667","12,947","30,614","12,856","17,758","(X)","11,395","(X)","14,237","(X)","13,381","(X)","7,399","(X)","3,967","(X)","8,716","(X)","11,631","(X)","7,828","(X)","11,459","(X)","4,747","(X)","6,712"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17.3%","49.2%","12.5%","16.7%","12.2%","13.2%","11.1%","14.8%","48.3%","21.0%","19.6%","22.1%","(X)","50.8%","(X)","14.3%","(X)","12.6%","(X)","11.5%","(X)","11.7%","(X)","15.7%","(X)","27.1%","(X)","28.3%","(X)","14.8%","(X)","13.1%","(X)","16.2%"
"Santa Monica CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,123","1,404","9,077","859","2,499","2,437","3,282","4,169","2,473","6,642","3,248","3,394","1,537","1,142","3,468","3,330","3,460","3,369","2,385","2,385","1,128","1,066","4,172","1,943","17,721","1,978","55,973","1,910","5,300","2,737","2,778","1,506","2,522","1,231"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.2%","53.0%","5.0%","14.6%","14.2%","19.2%","24.3%","14.4%","38.8%","36.7%","41.0%","(X)","74.3%","(X)","96.0%","(X)","97.4%","(X)","100.0%","(X)","94.5%","(X)","46.6%","(X)","11.2%","(X)","3.4%","(X)","51.6%","(X)","54.2%","(X)","48.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","323","7,649","685","2,078","2,106","2,780","3,419","1,121","4,540","2,270","2,270","(X)","269","(X)","2,572","(X)","2,946","(X)","2,041","(X)","951","(X)","1,433","(X)","1,181","(X)","1,119","(X)","2,223","(X)","1,203","(X)","1,020"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","73.1%","23.0%","84.3%","79.7%","83.2%","86.4%","84.7%","82.0%","45.3%","68.4%","69.9%","66.9%","(X)","23.6%","(X)","77.2%","(X)","87.4%","(X)","85.6%","(X)","89.2%","(X)","73.8%","(X)","59.7%","(X)","58.6%","(X)","81.2%","(X)","79.9%","(X)","82.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,081","1,428","174","421","331","502","750","1,352","2,102","978","1,124","(X)","873","(X)","758","(X)","423","(X)","344","(X)","115","(X)","510","(X)","797","(X)","791","(X)","514","(X)","303","(X)","211"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26.9%","77.0%","15.7%","20.3%","16.8%","13.6%","15.3%","18.0%","54.7%","31.6%","30.1%","33.1%","(X)","76.4%","(X)","22.8%","(X)","12.6%","(X)","14.4%","(X)","10.8%","(X)","26.2%","(X)","40.3%","(X)","41.4%","(X)","18.8%","(X)","20.1%","(X)","17.1%"
"South Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","65,584","2,236","47,801","3,508","12,998","15,225","16,070","13,696","1,851","15,547","6,598","8,949","5,951","1,738","16,793","15,849","19,627","19,248","11,431","11,272","6,204","4,138","15,502","6,430","28,670","3,591","111,044","3,318","21,706","8,714","11,257","4,051","10,449","4,663"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3.4%","72.9%","5.3%","19.8%","23.2%","24.5%","20.9%","2.8%","23.7%","20.4%","26.9%","(X)","29.2%","(X)","94.4%","(X)","98.1%","(X)","98.6%","(X)","66.7%","(X)","41.5%","(X)","12.5%","(X)","3.0%","(X)","40.1%","(X)","36.0%","(X)","44.6%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,548","44,653","3,270","12,087","14,345","14,951","11,725","1,076","12,801","5,599","7,202","(X)","1,273","(X)","14,560","(X)","18,157","(X)","10,439","(X)","3,710","(X)","5,543","(X)","3,000","(X)","2,320","(X)","7,555","(X)","3,492","(X)","4,063"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","90.0%","69.2%","93.4%","93.2%","93.0%","94.2%","93.0%","85.6%","58.1%","82.3%","84.9%","80.5%","(X)","73.2%","(X)","91.9%","(X)","94.3%","(X)","92.6%","(X)","89.7%","(X)","86.2%","(X)","83.5%","(X)","69.9%","(X)","86.7%","(X)","86.2%","(X)","87.1%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","688","3,148","238","911","880","1,119","1,971","775","2,746","999","1,747","(X)","465","(X)","1,289","(X)","1,091","(X)","833","(X)","428","(X)","887","(X)","591","(X)","998","(X)","1,159","(X)","559","(X)","600"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.0%","30.8%","6.6%","6.8%","7.0%","5.8%","7.0%","14.4%","41.9%","17.7%","15.1%","19.5%","(X)","26.8%","(X)","8.1%","(X)","5.7%","(X)","7.4%","(X)","10.3%","(X)","13.8%","(X)","16.5%","(X)","30.1%","(X)","13.3%","(X)","13.8%","(X)","12.9%"
"South Bay Cities CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","34,245","3,544","23,768","2,151","7,566","7,122","6,929","5,061","1,872","6,933","3,475","3,458","3,791","2,785","10,015","9,599","9,488","9,229","5,216","5,216","1,671","1,478","4,347","1,941","21,003","2,091","83,229","1,906","6,018","2,894","3,275","1,646","2,743","1,248"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","10.3%","69.4%","6.3%","22.1%","20.8%","20.2%","14.8%","5.5%","20.2%","20.1%","20.4%","(X)","73.5%","(X)","95.8%","(X)","97.3%","(X)","100.0%","(X)","88.5%","(X)","44.7%","(X)","10.0%","(X)","2.3%","(X)","48.1%","(X)","50.3%","(X)","45.5%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","954","20,320","1,632","6,744","6,236","5,708","4,156","1,052","5,208","2,740","2,468","(X)","662","(X)","7,988","(X)","8,007","(X)","4,283","(X)","1,230","(X)","1,502","(X)","1,588","(X)","1,222","(X)","2,356","(X)","1,359","(X)","997"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","77.3%","26.9%","85.5%","75.9%","89.1%","87.6%","82.4%","82.1%","56.2%","75.1%","78.8%","71.4%","(X)","23.8%","(X)","83.2%","(X)","86.8%","(X)","82.1%","(X)","83.2%","(X)","77.4%","(X)","75.9%","(X)","64.1%","(X)","81.4%","(X)","82.6%","(X)","79.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,590","3,448","519","822","886","1,221","905","820","1,725","735","990","(X)","2,123","(X)","1,611","(X)","1,222","(X)","933","(X)","248","(X)","439","(X)","503","(X)","684","(X)","538","(X)","287","(X)","251"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","22.7%","73.1%","14.5%","24.1%","10.9%","12.4%","17.6%","17.9%","43.8%","24.9%","21.2%","28.6%","(X)","76.2%","(X)","16.8%","(X)","13.2%","(X)","17.9%","(X)","16.8%","(X)","22.6%","(X)","24.1%","(X)","35.9%","(X)","18.6%","(X)","17.4%","(X)","20.1%"
"South Gate-East Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","144,934","7,309","100,694","7,254","27,164","31,962","34,314","33,418","3,513","36,931","16,501","20,430","13,391","6,215","34,363","32,838","41,518","40,296","24,422","23,644","14,304","10,091","38,144","16,294","77,796","10,231","222,903","5,325","52,448","23,010","26,671","10,358","25,777","12,652"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.0%","69.5%","5.0%","18.7%","22.1%","23.7%","23.1%","2.4%","25.5%","22.7%","28.3%","(X)","46.4%","(X)","95.6%","(X)","97.1%","(X)","96.8%","(X)","70.5%","(X)","42.7%","(X)","13.2%","(X)","2.4%","(X)","43.9%","(X)","38.8%","(X)","49.1%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6,808","97,308","6,941","26,301","30,772","33,294","30,899","2,478","33,377","14,837","18,540","(X)","5,829","(X)","31,629","(X)","38,901","(X)","22,919","(X)","9,497","(X)","15,282","(X)","8,996","(X)","4,440","(X)","21,535","(X)","9,620","(X)","11,915"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","94.9%","93.1%","96.6%","95.7%","96.8%","96.3%","97.0%","92.5%","70.5%","90.4%","89.9%","90.7%","(X)","93.8%","(X)","96.3%","(X)","96.5%","(X)","96.9%","(X)","94.1%","(X)","93.8%","(X)","87.9%","(X)","83.4%","(X)","93.6%","(X)","92.9%","(X)","94.2%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","501","3,386","313","863","1,190","1,020","2,519","1,035","3,554","1,664","1,890","(X)","386","(X)","1,209","(X)","1,395","(X)","725","(X)","594","(X)","1,012","(X)","1,235","(X)","885","(X)","1,475","(X)","738","(X)","737"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5.1%","6.9%","3.4%","4.3%","3.2%","3.7%","3.0%","7.5%","29.5%","9.6%","10.1%","9.3%","(X)","6.2%","(X)","3.7%","(X)","3.5%","(X)","3.1%","(X)","5.9%","(X)","6.2%","(X)","12.1%","(X)","16.6%","(X)","6.4%","(X)","7.1%","(X)","5.8%"
"Southwest San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","71,760","3,824","43,281","3,350","11,850","12,853","15,228","19,529","5,126","24,655","11,621","13,034","6,908","3,427","14,967","14,313","16,966","16,466","11,287","10,942","5,901","5,059","18,415","9,301","47,016","7,815","186,590","4,437","24,316","12,902","12,149","6,198","12,167","6,704"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.3%","60.3%","4.7%","16.5%","17.9%","21.2%","27.2%","7.1%","34.4%","32.0%","36.7%","(X)","49.6%","(X)","95.6%","(X)","97.1%","(X)","96.9%","(X)","85.7%","(X)","50.5%","(X)","16.6%","(X)","2.4%","(X)","53.1%","(X)","51.0%","(X)","55.1%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,419","40,086","2,931","10,866","11,899","14,390","18,067","2,814","20,881","9,997","10,884","(X)","2,197","(X)","12,839","(X)","15,270","(X)","10,321","(X)","4,822","(X)","8,593","(X)","6,023","(X)","3,321","(X)","12,009","(X)","5,909","(X)","6,100"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.3%","63.3%","92.6%","87.5%","91.7%","92.6%","94.5%","92.5%","54.9%","84.7%","86.0%","83.5%","(X)","64.1%","(X)","89.7%","(X)","92.7%","(X)","94.3%","(X)","95.3%","(X)","92.4%","(X)","77.1%","(X)","74.8%","(X)","93.1%","(X)","95.3%","(X)","91.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,405","3,195","419","984","954","838","1,462","2,312","3,774","1,624","2,150","(X)","1,230","(X)","1,474","(X)","1,196","(X)","621","(X)","237","(X)","708","(X)","1,792","(X)","1,116","(X)","893","(X)","289","(X)","604"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.7%","36.7%","7.4%","12.5%","8.3%","7.4%","5.5%","7.5%","45.1%","15.3%","14.0%","16.5%","(X)","35.9%","(X)","10.3%","(X)","7.3%","(X)","5.7%","(X)","4.7%","(X)","7.6%","(X)","22.9%","(X)","25.2%","(X)","6.9%","(X)","4.7%","(X)","9.0%"
"Torrance CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","35,248","2,598","23,130","1,822","7,053","7,398","6,857","7,273","2,247","9,520","4,469","5,051","2,969","2,082","8,682","8,538","9,407","9,305","4,924","4,867","2,201","2,019","6,684","3,651","18,255","2,778","88,490","2,008","8,885","4,785","4,805","2,423","4,080","2,362"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7.4%","65.6%","5.2%","20.0%","21.0%","19.5%","20.6%","6.4%","27.0%","24.2%","30.1%","(X)","70.1%","(X)","98.3%","(X)","98.9%","(X)","98.8%","(X)","91.7%","(X)","54.6%","(X)","15.2%","(X)","2.3%","(X)","53.9%","(X)","50.4%","(X)","57.9%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","785","20,752","1,482","6,394","6,601","6,275","6,213","1,092","7,305","3,379","3,926","(X)","431","(X)","7,431","(X)","8,365","(X)","4,469","(X)","1,884","(X)","3,109","(X)","1,918","(X)","1,235","(X)","4,172","(X)","2,180","(X)","1,992"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","81.8%","30.2%","89.7%","81.3%","90.7%","89.2%","91.5%","85.4%","48.6%","76.7%","75.6%","77.7%","(X)","20.7%","(X)","87.0%","(X)","89.9%","(X)","91.8%","(X)","93.3%","(X)","85.2%","(X)","69.0%","(X)","61.5%","(X)","87.2%","(X)","90.0%","(X)","84.3%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,813","2,378","340","659","797","582","1,060","1,155","2,215","1,090","1,125","(X)","1,651","(X)","1,107","(X)","940","(X)","398","(X)","135","(X)","542","(X)","860","(X)","773","(X)","613","(X)","243","(X)","370"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18.2%","69.8%","10.3%","18.7%","9.3%","10.8%","8.5%","14.6%","51.4%","23.3%","24.4%","22.3%","(X)","79.3%","(X)","13.0%","(X)","10.1%","(X)","8.2%","(X)","6.7%","(X)","14.8%","(X)","31.0%","(X)","38.5%","(X)","12.8%","(X)","10.0%","(X)","15.7%"
"Upper San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","82,023","4,903","53,017","3,707","13,641","17,882","17,787","19,380","4,723","24,103","11,088","13,015","8,143","4,214","17,970","16,994","22,290","22,024","12,652","12,368","7,378","5,692","20,036","9,262","42,702","6,693","182,600","4,776","27,414","12,873","14,027","6,206","13,387","6,667"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.0%","64.6%","4.5%","16.6%","21.8%","21.7%","23.6%","5.8%","29.4%","26.9%","31.9%","(X)","51.7%","(X)","94.6%","(X)","98.8%","(X)","97.8%","(X)","77.1%","(X)","46.2%","(X)","15.7%","(X)","2.6%","(X)","47.0%","(X)","44.2%","(X)","49.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,617","49,056","3,218","12,633","16,573","16,632","17,130","2,361","19,491","9,403","10,088","(X)","2,165","(X)","15,378","(X)","20,442","(X)","11,454","(X)","5,260","(X)","8,251","(X)","5,092","(X)","3,122","(X)","11,539","(X)","5,556","(X)","5,983"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","86.8%","53.4%","92.5%","86.8%","92.6%","92.7%","93.5%","88.4%","50.0%","80.9%","84.8%","77.5%","(X)","51.4%","(X)","90.5%","(X)","92.8%","(X)","92.6%","(X)","92.4%","(X)","89.1%","(X)","76.1%","(X)","65.4%","(X)","89.6%","(X)","89.5%","(X)","89.7%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,286","3,961","489","1,008","1,309","1,155","2,250","2,362","4,612","1,685","2,927","(X)","2,049","(X)","1,616","(X)","1,582","(X)","914","(X)","432","(X)","1,011","(X)","1,601","(X)","1,654","(X)","1,334","(X)","650","(X)","684"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13.2%","46.6%","7.5%","13.2%","7.4%","7.3%","6.5%","11.6%","50.0%","19.1%","15.2%","22.5%","(X)","48.6%","(X)","9.5%","(X)","7.2%","(X)","7.4%","(X)","7.6%","(X)","10.9%","(X)","23.9%","(X)","34.6%","(X)","10.4%","(X)","10.5%","(X)","10.3%"
"Whittier CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83,850","3,566","50,914","3,852","13,413","15,638","18,011","24,947","4,423","29,370","12,941","16,429","7,082","2,939","18,736","16,730","21,935","20,113","13,786","12,431","9,473","7,270","24,362","12,037","44,208","7,419","173,594","4,911","33,835","17,285","15,911","6,953","17,924","10,332"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.3%","60.7%","4.6%","16.0%","18.6%","21.5%","29.8%","5.3%","35.0%","32.0%","37.9%","(X)","41.5%","(X)","89.3%","(X)","91.7%","(X)","90.2%","(X)","76.7%","(X)","49.4%","(X)","16.8%","(X)","2.8%","(X)","51.1%","(X)","43.7%","(X)","57.6%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,204","46,874","3,512","12,000","14,405","16,957","19,360","2,129","21,489","9,393","12,096","(X)","1,792","(X)","14,944","(X)","18,464","(X)","11,703","(X)","5,626","(X)","8,993","(X)","5,581","(X)","3,464","(X)","12,720","(X)","5,189","(X)","7,531"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84.2%","61.8%","92.1%","91.2%","89.5%","92.1%","94.1%","77.6%","48.1%","73.2%","72.6%","73.6%","(X)","61.0%","(X)","89.3%","(X)","91.8%","(X)","94.1%","(X)","77.4%","(X)","74.7%","(X)","75.2%","(X)","70.5%","(X)","73.6%","(X)","74.6%","(X)","72.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,362","4,040","340","1,413","1,233","1,054","5,587","2,294","7,881","3,548","4,333","(X)","1,147","(X)","1,786","(X)","1,649","(X)","728","(X)","1,644","(X)","3,044","(X)","1,838","(X)","1,447","(X)","4,565","(X)","1,764","(X)","2,801"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15.8%","38.2%","7.9%","8.8%","10.5%","7.9%","5.9%","22.4%","51.9%","26.8%","27.4%","26.4%","(X)","39.0%","(X)","10.7%","(X)","8.2%","(X)","5.9%","(X)","22.6%","(X)","25.3%","(X)","24.8%","(X)","29.5%","(X)","26.4%","(X)","25.4%","(X)","27.1%"
