"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"        Estimate","64,049","4,734","39,780","3,249","11,040","12,906","12,585","13,477","6,058","19,535","8,809","10,726","5,740","4,120","14,075","13,619","16,650","16,343","8,856","8,735","4,817","4,190","12,646","6,747","38,248","5,725","159,601","4,570","17,463","9,474","9,147","4,764","8,316","4,710"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7.4%","62.1%","5.1%","17.2%","20.2%","19.6%","21.0%","9.5%","30.5%","27.5%","33.5%","(X)","71.8%","(X)","96.8%","(X)","98.2%","(X)","98.6%","(X)","87.0%","(X)","53.4%","(X)","15.0%","(X)","2.9%","(X)","54.3%","(X)","52.1%","(X)","56.6%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,419","31,493","2,571","8,790","10,268","9,864","10,401","2,074","12,475","5,842","6,633","(X)","1,384","(X)","10,233","(X)","13,325","(X)","6,751","(X)","2,989","(X)","4,705","(X)","3,318","(X)","2,682","(X)","6,663","(X)","3,480","(X)","3,183"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","70.9%","30.0%","79.2%","79.1%","79.6%","79.6%","78.4%","77.2%","34.2%","63.9%","66.3%","61.8%","(X)","33.6%","(X)","75.1%","(X)","81.5%","(X)","77.3%","(X)","71.3%","(X)","69.7%","(X)","58.0%","(X)","58.7%","(X)","70.3%","(X)","73.0%","(X)","67.6%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,315","8,287","678","2,250","2,638","2,721","3,076","3,984","7,060","2,967","4,093","(X)","2,736","(X)","3,386","(X)","3,018","(X)","1,984","(X)","1,201","(X)","2,042","(X)","2,407","(X)","1,888","(X)","2,811","(X)","1,284","(X)","1,527"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","29.1%","70.0%","20.8%","20.9%","20.4%","20.4%","21.6%","22.8%","65.8%","36.1%","33.7%","38.2%","(X)","66.4%","(X)","24.9%","(X)","18.5%","(X)","22.7%","(X)","28.7%","(X)","30.3%","(X)","42.0%","(X)","41.3%","(X)","29.7%","(X)","27.0%","(X)","32.4%"
"San Fernando Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","438,951","25,121","272,196","20,251","78,922","80,665","92,358","113,893","27,741","141,634","63,379","78,255","41,695","21,524","98,654","94,039","106,877","104,625","64,889","63,250","42,864","33,868","116,868","54,557","288,069","40,027","1,010,122","27,061","159,732","76,653","80,039","35,680","79,693","40,973"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.7%","62.0%","4.6%","18.0%","18.4%","21.0%","25.9%","6.3%","32.3%","29.3%","35.2%","(X)","51.6%","(X)","95.3%","(X)","97.9%","(X)","97.5%","(X)","79.0%","(X)","46.7%","(X)","13.9%","(X)","2.7%","(X)","48.0%","(X)","44.6%","(X)","51.4%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","12,270","237,219","16,942","69,080","69,696","81,501","96,247","13,782","110,029","50,568","59,461","(X)","10,248","(X)","80,338","(X)","91,109","(X)","55,596","(X)","29,824","(X)","44,858","(X)","29,118","(X)","18,427","(X)","64,243","(X)","30,852","(X)","33,391"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","81.9%","48.8%","87.2%","83.7%","87.5%","86.4%","88.2%","84.5%","49.7%","77.7%","79.8%","76.0%","(X)","47.6%","(X)","85.4%","(X)","87.1%","(X)","87.9%","(X)","88.1%","(X)","82.2%","(X)","72.7%","(X)","68.1%","(X)","83.8%","(X)","86.5%","(X)","81.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","12,851","34,977","3,309","9,842","10,969","10,857","17,646","13,959","31,605","12,811","18,794","(X)","11,276","(X)","13,701","(X)","13,516","(X)","7,654","(X)","4,044","(X)","9,699","(X)","10,909","(X)","8,634","(X)","12,410","(X)","4,828","(X)","7,582"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18.1%","51.2%","12.8%","16.3%","12.5%","13.6%","11.8%","15.5%","50.3%","22.3%","20.2%","24.0%","(X)","52.4%","(X)","14.6%","(X)","12.9%","(X)","12.1%","(X)","11.9%","(X)","17.8%","(X)","27.3%","(X)","31.9%","(X)","16.2%","(X)","13.5%","(X)","18.5%"
"Santa Monica CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,848","1,569","9,095","896","2,719","2,488","2,992","3,699","2,485","6,184","2,799","3,385","1,678","1,291","3,772","3,609","3,611","3,473","2,102","2,046","1,298","1,092","3,597","1,587","17,180","2,029","56,309","1,721","4,895","2,428","2,454","1,237","2,441","1,191"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","9.3%","54.0%","5.3%","16.1%","14.8%","17.8%","22.0%","14.7%","36.7%","32.8%","40.7%","(X)","76.9%","(X)","95.7%","(X)","96.2%","(X)","97.3%","(X)","84.1%","(X)","44.1%","(X)","11.8%","(X)","3.1%","(X)","49.6%","(X)","50.4%","(X)","48.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","400","7,614","762","2,270","2,139","2,443","3,012","1,104","4,116","1,908","2,208","(X)","346","(X)","2,822","(X)","3,047","(X)","1,649","(X)","1,004","(X)","1,079","(X)","1,126","(X)","1,057","(X)","1,927","(X)","971","(X)","956"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","72.0%","25.5%","83.7%","85.0%","83.5%","86.0%","81.7%","81.4%","44.4%","66.6%","68.2%","65.2%","(X)","26.8%","(X)","78.2%","(X)","87.7%","(X)","80.6%","(X)","91.9%","(X)","68.0%","(X)","55.5%","(X)","61.4%","(X)","79.4%","(X)","78.5%","(X)","80.3%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,169","1,481","134","449","349","549","687","1,381","2,068","891","1,177","(X)","945","(X)","787","(X)","426","(X)","397","(X)","88","(X)","508","(X)","903","(X)","664","(X)","501","(X)","266","(X)","235"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","28.0%","74.5%","16.3%","15.0%","16.5%","14.0%","18.3%","18.6%","55.6%","33.4%","31.8%","34.8%","(X)","73.2%","(X)","21.8%","(X)","12.3%","(X)","19.4%","(X)","8.1%","(X)","32.0%","(X)","44.5%","(X)","38.6%","(X)","20.6%","(X)","21.5%","(X)","19.7%"
"South Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","63,850","2,167","46,325","3,310","13,002","14,520","15,493","13,238","2,120","15,358","6,156","9,202","5,925","1,683","16,300","15,495","19,455","19,111","10,603","10,424","6,281","4,182","15,234","6,150","29,052","3,555","111,382","3,250","21,515","8,727","11,016","3,732","10,499","4,995"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3.4%","72.6%","5.2%","20.4%","22.7%","24.3%","20.7%","3.3%","24.1%","19.5%","28.5%","(X)","28.4%","(X)","95.1%","(X)","98.2%","(X)","98.3%","(X)","66.6%","(X)","40.4%","(X)","12.2%","(X)","2.9%","(X)","40.6%","(X)","33.9%","(X)","47.6%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,546","43,296","2,975","12,137","13,594","14,590","11,422","1,205","12,627","5,158","7,469","(X)","1,244","(X)","14,226","(X)","17,893","(X)","9,762","(X)","3,866","(X)","5,273","(X)","2,857","(X)","2,348","(X)","7,603","(X)","3,214","(X)","4,389"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","90.0%","71.3%","93.5%","89.9%","93.3%","93.6%","94.2%","86.3%","56.8%","82.2%","83.8%","81.2%","(X)","73.9%","(X)","91.8%","(X)","93.6%","(X)","93.6%","(X)","92.4%","(X)","85.7%","(X)","80.4%","(X)","72.2%","(X)","87.1%","(X)","86.1%","(X)","87.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","621","3,029","335","865","926","903","1,816","915","2,731","998","1,733","(X)","439","(X)","1,269","(X)","1,218","(X)","662","(X)","316","(X)","877","(X)","698","(X)","902","(X)","1,124","(X)","518","(X)","606"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.0%","28.7%","6.5%","10.1%","6.7%","6.4%","5.8%","13.7%","43.2%","17.8%","16.2%","18.8%","(X)","26.1%","(X)","8.2%","(X)","6.4%","(X)","6.4%","(X)","7.6%","(X)","14.3%","(X)","19.6%","(X)","27.8%","(X)","12.9%","(X)","13.9%","(X)","12.1%"
"South Bay Cities CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","33,329","3,359","23,553","1,944","7,467","7,213","6,929","4,587","1,830","6,417","3,191","3,226","3,451","2,584","9,818","9,321","9,373","9,090","5,305","5,294","1,894","1,603","4,809","2,053","19,837","1,692","82,905","1,692","6,703","2,985","3,827","1,620","2,876","1,365"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","10.1%","70.7%","5.8%","22.4%","21.6%","20.8%","13.8%","5.5%","19.3%","19.3%","19.2%","(X)","74.9%","(X)","94.9%","(X)","97.0%","(X)","99.8%","(X)","84.6%","(X)","42.7%","(X)","8.5%","(X)","2.0%","(X)","44.5%","(X)","42.3%","(X)","47.5%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","887","20,085","1,495","6,596","6,254","5,740","3,648","1,046","4,694","2,406","2,288","(X)","577","(X)","7,734","(X)","7,838","(X)","4,410","(X)","1,291","(X)","1,546","(X)","1,251","(X)","1,019","(X)","2,376","(X)","1,322","(X)","1,054"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","77.0%","26.4%","85.3%","76.9%","88.3%","86.7%","82.8%","79.5%","57.2%","73.1%","75.4%","70.9%","(X)","22.3%","(X)","83.0%","(X)","86.2%","(X)","83.3%","(X)","80.5%","(X)","75.3%","(X)","73.9%","(X)","60.2%","(X)","79.6%","(X)","81.6%","(X)","77.2%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,472","3,468","449","871","959","1,189","939","784","1,723","785","938","(X)","2,007","(X)","1,587","(X)","1,252","(X)","884","(X)","312","(X)","507","(X)","441","(X)","673","(X)","609","(X)","298","(X)","311"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23.0%","73.6%","14.7%","23.1%","11.7%","13.3%","17.2%","20.5%","42.8%","26.9%","24.6%","29.1%","(X)","77.7%","(X)","17.0%","(X)","13.8%","(X)","16.7%","(X)","19.5%","(X)","24.7%","(X)","26.1%","(X)","39.8%","(X)","20.4%","(X)","18.4%","(X)","22.8%"
"South Gate-East Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","137,785","6,623","95,293","6,585","25,840","29,775","33,093","32,266","3,603","35,869","15,680","20,189","12,912","5,653","32,284","30,832","38,728","37,452","23,697","23,046","15,201","10,356","39,018","15,905","75,803","9,404","223,905","5,137","54,219","22,967","27,831","10,145","26,388","12,822"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.8%","69.2%","4.8%","18.8%","21.6%","24.0%","23.4%","2.6%","26.0%","22.9%","29.2%","(X)","43.8%","(X)","95.5%","(X)","96.7%","(X)","97.3%","(X)","68.1%","(X)","40.8%","(X)","12.4%","(X)","2.3%","(X)","42.4%","(X)","36.5%","(X)","48.6%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6,147","92,002","6,327","25,028","28,660","31,987","29,666","2,585","32,251","14,025","18,226","(X)","5,334","(X)","29,696","(X)","36,059","(X)","22,371","(X)","9,668","(X)","14,887","(X)","8,100","(X)","4,285","(X)","21,408","(X)","9,367","(X)","12,041"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","94.6%","92.8%","96.5%","96.1%","96.9%","96.3%","96.7%","91.9%","71.7%","89.9%","89.4%","90.3%","(X)","94.4%","(X)","96.3%","(X)","96.3%","(X)","97.1%","(X)","93.4%","(X)","93.6%","(X)","86.1%","(X)","83.4%","(X)","93.2%","(X)","92.3%","(X)","93.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","476","3,291","258","812","1,115","1,106","2,600","1,018","3,618","1,655","1,963","(X)","319","(X)","1,136","(X)","1,393","(X)","675","(X)","688","(X)","1,018","(X)","1,304","(X)","852","(X)","1,559","(X)","778","(X)","781"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5.4%","7.2%","3.5%","3.9%","3.1%","3.7%","3.3%","8.1%","28.3%","10.1%","10.6%","9.7%","(X)","5.6%","(X)","3.7%","(X)","3.7%","(X)","2.9%","(X)","6.6%","(X)","6.4%","(X)","13.9%","(X)","16.6%","(X)","6.8%","(X)","7.7%","(X)","6.1%"
"Southwest San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","70,447","3,672","42,709","3,494","11,640","12,085","15,490","18,763","5,303","24,066","11,564","12,502","6,570","3,219","14,900","14,142","16,270","15,853","11,566","11,216","5,885","5,114","18,481","9,126","45,772","7,256","186,466","4,521","24,366","12,772","12,457","6,270","11,909","6,502"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.2%","60.6%","5.0%","16.5%","17.2%","22.0%","26.6%","7.5%","34.2%","32.4%","36.0%","(X)","49.0%","(X)","94.9%","(X)","97.4%","(X)","97.0%","(X)","86.9%","(X)","49.4%","(X)","15.9%","(X)","2.4%","(X)","52.4%","(X)","50.3%","(X)","54.6%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,344","39,551","3,057","10,693","11,166","14,635","17,270","2,812","20,082","9,785","10,297","(X)","2,077","(X)","12,684","(X)","14,689","(X)","10,627","(X)","4,898","(X)","8,261","(X)","5,442","(X)","3,299","(X)","11,780","(X)","5,911","(X)","5,869"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.0%","63.8%","92.6%","87.5%","91.9%","92.4%","94.5%","92.0%","53.0%","83.4%","84.6%","82.4%","(X)","64.5%","(X)","89.7%","(X)","92.7%","(X)","94.7%","(X)","95.8%","(X)","90.5%","(X)","75.0%","(X)","73.0%","(X)","92.2%","(X)","94.3%","(X)","90.3%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,328","3,158","437","947","919","855","1,493","2,491","3,984","1,779","2,205","(X)","1,142","(X)","1,458","(X)","1,164","(X)","589","(X)","216","(X)","865","(X)","1,814","(X)","1,222","(X)","992","(X)","359","(X)","633"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12.0%","36.2%","7.4%","12.5%","8.1%","7.6%","5.5%","8.0%","47.0%","16.6%","15.4%","17.6%","(X)","35.5%","(X)","10.3%","(X)","7.3%","(X)","5.3%","(X)","4.2%","(X)","9.5%","(X)","25.0%","(X)","27.0%","(X)","7.8%","(X)","5.7%","(X)","9.7%"
"Torrance CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","34,658","2,446","22,755","1,734","7,075","7,171","6,775","7,273","2,184","9,457","4,431","5,026","2,610","1,890","8,602","8,427","9,340","9,240","4,817","4,773","2,410","2,105","6,796","3,489","17,447","2,674","88,562","2,060","9,206","4,729","4,841","2,256","4,365","2,473"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7.1%","65.7%","5.0%","20.4%","20.7%","19.5%","21.0%","6.3%","27.3%","24.7%","30.1%","(X)","72.4%","(X)","98.0%","(X)","98.9%","(X)","99.1%","(X)","87.3%","(X)","51.3%","(X)","15.3%","(X)","2.3%","(X)","51.4%","(X)","46.6%","(X)","56.7%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","834","20,350","1,348","6,419","6,332","6,251","6,215","1,101","7,316","3,324","3,992","(X)","449","(X)","7,278","(X)","8,292","(X)","4,371","(X)","1,977","(X)","3,020","(X)","1,724","(X)","1,389","(X)","4,204","(X)","2,023","(X)","2,181"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","82.2%","34.1%","89.4%","77.7%","90.7%","88.3%","92.3%","85.5%","50.4%","77.4%","75.0%","79.4%","(X)","23.8%","(X)","86.4%","(X)","89.7%","(X)","91.6%","(X)","93.9%","(X)","86.6%","(X)","64.5%","(X)","67.4%","(X)","88.9%","(X)","89.7%","(X)","88.2%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,612","2,405","386","656","839","524","1,058","1,083","2,141","1,107","1,034","(X)","1,441","(X)","1,149","(X)","948","(X)","402","(X)","128","(X)","469","(X)","950","(X)","671","(X)","525","(X)","233","(X)","292"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17.8%","65.9%","10.6%","22.3%","9.3%","11.7%","7.7%","14.5%","49.6%","22.6%","25.0%","20.6%","(X)","76.2%","(X)","13.6%","(X)","10.3%","(X)","8.4%","(X)","6.1%","(X)","13.4%","(X)","35.5%","(X)","32.6%","(X)","11.1%","(X)","10.3%","(X)","11.8%"
"Upper San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","79,166","4,869","50,412","3,149","13,032","16,947","17,284","19,228","4,657","23,885","11,409","12,476","7,469","3,760","17,217","16,076","21,653","21,246","12,401","12,091","7,248","5,551","19,510","9,300","41,310","6,268","184,426","4,874","26,758","12,976","13,904","6,564","12,854","6,412"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.2%","63.7%","4.0%","16.5%","21.4%","21.8%","24.3%","5.9%","30.2%","28.9%","31.4%","(X)","50.3%","(X)","93.4%","(X)","98.1%","(X)","97.5%","(X)","76.6%","(X)","47.7%","(X)","15.2%","(X)","2.6%","(X)","48.5%","(X)","47.2%","(X)","49.9%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,620","46,389","2,730","11,899","15,771","15,989","16,571","2,546","19,117","9,485","9,632","(X)","1,837","(X)","14,305","(X)","19,782","(X)","11,148","(X)","5,030","(X)","8,151","(X)","4,605","(X)","3,268","(X)","11,506","(X)","5,720","(X)","5,786"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","86.1%","53.8%","92.0%","86.7%","91.3%","93.1%","92.5%","86.2%","54.7%","80.0%","83.1%","77.2%","(X)","48.9%","(X)","89.0%","(X)","93.1%","(X)","92.2%","(X)","90.6%","(X)","87.6%","(X)","73.5%","(X)","67.0%","(X)","88.7%","(X)","87.1%","(X)","90.2%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,249","4,023","419","1,133","1,176","1,295","2,657","2,111","4,768","1,924","2,844","(X)","1,923","(X)","1,771","(X)","1,464","(X)","943","(X)","521","(X)","1,149","(X)","1,663","(X)","1,606","(X)","1,470","(X)","844","(X)","626"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13.9%","46.2%","8.0%","13.3%","8.7%","6.9%","7.5%","13.8%","45.3%","20.0%","16.9%","22.8%","(X)","51.1%","(X)","11.0%","(X)","6.9%","(X)","7.8%","(X)","9.4%","(X)","12.4%","(X)","26.5%","(X)","33.0%","(X)","11.3%","(X)","12.9%","(X)","9.8%"
"Whittier CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","82,931","3,610","50,312","3,838","14,349","14,983","17,142","24,041","4,968","29,009","12,970","16,039","7,008","2,832","19,086","17,433","20,792","19,527","12,628","11,876","9,004","6,967","23,506","11,723","44,170","7,485","173,006","5,088","32,510","16,769","15,420","7,051","17,090","9,718"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.4%","60.7%","4.6%","17.3%","18.1%","20.7%","29.0%","6.0%","35.0%","32.1%","37.8%","(X)","40.4%","(X)","91.3%","(X)","93.9%","(X)","94.0%","(X)","77.4%","(X)","49.9%","(X)","16.9%","(X)","2.9%","(X)","51.6%","(X)","45.7%","(X)","56.9%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,202","45,606","3,378","12,661","13,620","15,947","18,867","2,565","21,432","9,504","11,928","(X)","1,630","(X)","15,277","(X)","17,706","(X)","11,070","(X)","5,399","(X)","9,033","(X)","5,468","(X)","3,657","(X)","12,654","(X)","5,317","(X)","7,337"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83.5%","61.0%","90.6%","88.0%","88.2%","90.9%","93.0%","78.5%","51.6%","73.9%","73.3%","74.4%","(X)","57.6%","(X)","87.6%","(X)","90.7%","(X)","93.2%","(X)","77.5%","(X)","77.1%","(X)","73.1%","(X)","71.9%","(X)","75.5%","(X)","75.4%","(X)","75.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,408","4,706","460","1,688","1,363","1,195","5,174","2,403","7,577","3,466","4,111","(X)","1,202","(X)","2,156","(X)","1,821","(X)","806","(X)","1,568","(X)","2,690","(X)","2,017","(X)","1,431","(X)","4,115","(X)","1,734","(X)","2,381"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16.5%","39.0%","9.4%","12.0%","11.8%","9.1%","7.0%","21.5%","48.4%","26.1%","26.7%","25.6%","(X)","42.4%","(X)","12.4%","(X)","9.3%","(X)","6.8%","(X)","22.5%","(X)","22.9%","(X)","26.9%","(X)","28.1%","(X)","24.5%","(X)","24.6%","(X)","24.5%"
