"Label (Grouping)","Population 3 years and over enrolled in school","Nursery school, preschool","Kindergarten to 12th grade","Kindergarten","Elementary: grade 1 to grade 4","Elementary: grade 5 to grade 8","High school: grade 9 to grade 12","College, undergraduate","Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Males 18 to 24 years","Males 18 to 24 years!!Enrolled in college or graduate school","Females 18 to 24 years","Females 18 to 24 years!!Enrolled in college or graduate school"
"        Estimate","(X)","2,107","33,087","2,665","9,061","9,932","11,429","12,372","2,574","14,946","6,802","8,144","(X)","1,922","(X)","11,084","(X)","12,760","(X)","7,909","(X)","3,794","(X)","5,320","(X)","4,722","(X)","2,629","(X)","7,637","(X)","3,654","(X)","3,983"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","70.2%","38.1%","79.6%","81.3%","76.9%","79.7%","81.4%","71.8%","36.4%","61.5%","58.6%","64.1%","(X)","39.7%","(X)","75.5%","(X)","80.6%","(X)","79.3%","(X)","77.0%","(X)","63.5%","(X)","58.7%","(X)","55.6%","(X)","66.2%","(X)","67.1%","(X)","65.4%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,427","8,476","612","2,720","2,524","2,620","4,869","4,488","9,357","4,804","4,553","(X)","2,923","(X)","3,598","(X)","3,063","(X)","2,061","(X)","1,132","(X)","3,055","(X)","3,328","(X)","2,100","(X)","3,901","(X)","1,791","(X)","2,110"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","29.8%","61.9%","20.4%","18.7%","23.1%","20.3%","18.6%","28.2%","63.6%","38.5%","41.4%","35.9%","(X)","60.3%","(X)","24.5%","(X)","19.4%","(X)","20.7%","(X)","23.0%","(X)","36.5%","(X)","41.3%","(X)","44.4%","(X)","33.8%","(X)","32.9%","(X)","34.6%"
"San Fernando Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","475,707","30,106","293,656","23,727","83,658","86,237","100,034","127,740","24,205","151,945","69,449","82,496","46,996","27,157","108,263","105,147","108,906","107,241","69,982","68,122","43,683","34,299","132,620","64,795","287,712","39,859","978,716","29,087","176,303","84,968","89,543","40,266","86,760","44,702"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.3%","61.7%","5.0%","17.6%","18.1%","21.0%","26.9%","5.1%","31.9%","29.4%","34.4%","(X)","57.8%","(X)","97.1%","(X)","98.5%","(X)","97.3%","(X)","78.5%","(X)","48.9%","(X)","13.9%","(X)","3.0%","(X)","48.2%","(X)","45.0%","(X)","51.5%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","15,973","257,916","20,643","73,740","75,882","87,651","107,152","13,229","120,381","56,205","64,176","(X)","14,959","(X)","90,935","(X)","94,129","(X)","59,893","(X)","29,889","(X)","53,595","(X)","29,900","(X)","20,970","(X)","71,179","(X)","34,496","(X)","36,683"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","82.9%","53.1%","87.8%","87.0%","88.1%","88.0%","87.6%","83.9%","54.7%","79.2%","80.9%","77.8%","(X)","55.1%","(X)","86.5%","(X)","87.8%","(X)","87.9%","(X)","87.1%","(X)","82.7%","(X)","75.0%","(X)","72.1%","(X)","83.8%","(X)","85.7%","(X)","82.1%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","14,133","35,740","3,084","9,918","10,355","12,383","20,588","10,976","31,564","13,244","18,320","(X)","12,198","(X)","14,212","(X)","13,112","(X)","8,229","(X)","4,410","(X)","11,200","(X)","9,959","(X)","8,117","(X)","13,789","(X)","5,770","(X)","8,019"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17.1%","46.9%","12.2%","13.0%","11.9%","12.0%","12.4%","16.1%","45.3%","20.8%","19.1%","22.2%","(X)","44.9%","(X)","13.5%","(X)","12.2%","(X)","12.1%","(X)","12.9%","(X)","17.3%","(X)","25.0%","(X)","27.9%","(X)","16.2%","(X)","14.3%","(X)","17.9%"
"Santa Monica CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,821","1,241","8,874","851","2,559","2,407","3,057","4,852","2,854","7,706","3,749","3,957","1,350","1,021","3,419","3,332","3,230","3,216","2,245","2,210","1,165","1,032","5,292","2,731","19,081","2,665","53,768","1,614","6,457","3,508","3,365","1,838","3,092","1,670"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7.0%","49.8%","4.8%","14.4%","13.5%","17.2%","27.2%","16.0%","43.2%","42.7%","43.7%","(X)","75.6%","(X)","97.5%","(X)","99.6%","(X)","98.4%","(X)","88.6%","(X)","51.6%","(X)","14.0%","(X)","3.0%","(X)","54.3%","(X)","54.6%","(X)","54.0%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","541","6,817","588","2,070","1,895","2,264","3,982","1,212","5,194","2,706","2,488","(X)","435","(X)","2,580","(X)","2,460","(X)","1,619","(X)","903","(X)","1,986","(X)","1,592","(X)","977","(X)","2,691","(X)","1,513","(X)","1,178"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","70.4%","43.6%","76.8%","69.1%","80.9%","78.7%","74.1%","82.1%","42.5%","67.4%","72.2%","62.9%","(X)","42.6%","(X)","77.4%","(X)","76.5%","(X)","73.3%","(X)","87.5%","(X)","72.7%","(X)","59.7%","(X)","60.5%","(X)","76.7%","(X)","82.3%","(X)","70.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","700","2,057","263","489","512","793","870","1,642","2,512","1,043","1,469","(X)","586","(X)","752","(X)","756","(X)","591","(X)","129","(X)","745","(X)","1,073","(X)","637","(X)","817","(X)","325","(X)","492"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","29.6%","56.4%","23.2%","30.9%","19.1%","21.3%","25.9%","17.9%","57.5%","32.6%","27.8%","37.1%","(X)","57.4%","(X)","22.6%","(X)","23.5%","(X)","26.7%","(X)","12.5%","(X)","27.3%","(X)","40.3%","(X)","39.5%","(X)","23.3%","(X)","17.7%","(X)","29.5%"
"South Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","66,483","3,371","47,107","3,539","12,968","14,215","16,385","14,204","1,801","16,005","6,919","9,086","7,166","2,925","16,863","15,969","17,505","17,337","10,950","10,796","6,659","4,758","15,920","6,774","26,493","4,240","101,573","3,684","22,579","8,539","11,874","4,009","10,705","4,530"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.1%","70.9%","5.3%","19.5%","21.4%","24.6%","21.4%","2.7%","24.1%","20.8%","27.4%","(X)","40.8%","(X)","94.7%","(X)","99.0%","(X)","98.6%","(X)","71.5%","(X)","42.6%","(X)","16.0%","(X)","3.6%","(X)","37.8%","(X)","33.8%","(X)","42.3%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,513","43,648","3,125","11,821","13,478","15,224","11,608","934","12,542","5,462","7,080","(X)","2,140","(X)","14,432","(X)","16,318","(X)","10,142","(X)","4,272","(X)","5,649","(X)","3,222","(X)","2,528","(X)","7,174","(X)","3,422","(X)","3,752"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.3%","74.5%","92.7%","88.3%","91.2%","94.8%","92.9%","81.7%","51.9%","78.4%","78.9%","77.9%","(X)","73.2%","(X)","90.4%","(X)","94.1%","(X)","93.9%","(X)","89.8%","(X)","83.4%","(X)","76.0%","(X)","68.6%","(X)","84.0%","(X)","85.4%","(X)","82.8%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","858","3,459","414","1,147","737","1,161","2,596","867","3,463","1,457","2,006","(X)","785","(X)","1,537","(X)","1,019","(X)","654","(X)","486","(X)","1,125","(X)","1,018","(X)","1,156","(X)","1,365","(X)","587","(X)","778"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.7%","25.5%","7.3%","11.7%","8.8%","5.2%","7.1%","18.3%","48.1%","21.6%","21.1%","22.1%","(X)","26.8%","(X)","9.6%","(X)","5.9%","(X)","6.1%","(X)","10.2%","(X)","16.6%","(X)","24.0%","(X)","31.4%","(X)","16.0%","(X)","14.6%","(X)","17.2%"
"South Bay Cities CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","32,976","3,514","22,069","2,099","6,707","6,701","6,562","4,903","2,490","7,393","3,230","4,163","3,690","2,867","8,865","8,754","8,171","8,131","4,920","4,847","1,899","1,641","4,961","2,208","19,112","2,365","82,934","2,163","6,860","2,907","3,411","1,448","3,449","1,459"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","10.7%","66.9%","6.4%","20.3%","20.3%","19.9%","14.9%","7.6%","22.4%","19.5%","25.4%","(X)","77.7%","(X)","98.7%","(X)","99.5%","(X)","98.5%","(X)","86.4%","(X)","44.5%","(X)","12.4%","(X)","2.6%","(X)","42.4%","(X)","42.5%","(X)","42.3%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,289","19,139","1,760","6,178","5,514","5,687","4,071","1,103","5,174","2,403","2,771","(X)","1,038","(X)","7,621","(X)","6,719","(X)","4,242","(X)","1,389","(X)","1,807","(X)","1,539","(X)","1,247","(X)","2,430","(X)","1,272","(X)","1,158"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","77.6%","36.7%","86.7%","83.8%","92.1%","82.3%","86.7%","83.0%","44.3%","70.0%","74.4%","66.6%","(X)","36.2%","(X)","87.1%","(X)","82.6%","(X)","87.5%","(X)","84.6%","(X)","81.8%","(X)","65.1%","(X)","57.7%","(X)","83.6%","(X)","87.8%","(X)","79.4%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,225","2,930","339","529","1,187","875","832","1,387","2,219","827","1,392","(X)","1,829","(X)","1,133","(X)","1,412","(X)","605","(X)","252","(X)","401","(X)","826","(X)","916","(X)","477","(X)","176","(X)","301"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","22.4%","63.3%","13.3%","16.2%","7.9%","17.7%","13.3%","17.0%","55.7%","30.0%","25.6%","33.4%","(X)","63.8%","(X)","12.9%","(X)","17.4%","(X)","12.5%","(X)","15.4%","(X)","18.2%","(X)","34.9%","(X)","42.3%","(X)","16.4%","(X)","12.2%","(X)","20.6%"
"South Gate-East Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","154,242","8,866","110,275","8,787","32,826","31,908","36,754","32,691","2,410","35,101","15,307","19,794","17,257","7,806","42,201","41,077","39,315","38,854","24,853","23,898","16,611","11,975","45,427","18,124","77,739","8,002","215,878","4,506","62,038","23,968","31,430","10,679","30,608","13,289"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.7%","71.5%","5.7%","21.3%","20.7%","23.8%","21.2%","1.6%","22.8%","20.2%","25.2%","(X)","45.2%","(X)","97.3%","(X)","98.8%","(X)","96.2%","(X)","72.1%","(X)","39.9%","(X)","10.3%","(X)","2.1%","(X)","38.6%","(X)","34.0%","(X)","43.4%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8,374","107,216","8,577","31,799","30,917","35,923","30,197","1,763","31,960","14,170","17,790","(X)","7,329","(X)","39,824","(X)","37,693","(X)","23,390","(X)","11,604","(X)","16,870","(X)","7,010","(X)","3,830","(X)","22,451","(X)","10,067","(X)","12,384"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","95.7%","94.5%","97.2%","97.6%","96.9%","96.9%","97.7%","92.4%","73.2%","91.1%","92.6%","89.9%","(X)","93.9%","(X)","96.9%","(X)","97.0%","(X)","97.9%","(X)","96.9%","(X)","93.1%","(X)","87.6%","(X)","85.0%","(X)","93.7%","(X)","94.3%","(X)","93.2%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","492","3,059","210","1,027","991","831","2,494","647","3,141","1,137","2,004","(X)","477","(X)","1,253","(X)","1,161","(X)","508","(X)","371","(X)","1,254","(X)","992","(X)","676","(X)","1,517","(X)","612","(X)","905"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4.3%","5.5%","2.8%","2.4%","3.1%","3.1%","2.3%","7.6%","26.8%","8.9%","7.4%","10.1%","(X)","6.1%","(X)","3.1%","(X)","3.0%","(X)","2.1%","(X)","3.1%","(X)","6.9%","(X)","12.4%","(X)","15.0%","(X)","6.3%","(X)","5.7%","(X)","6.8%"
"Southwest San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","76,461","4,368","45,071","2,934","12,611","13,888","15,638","22,466","4,556","27,022","13,548","13,474","7,687","4,106","15,656","15,289","17,073","16,820","11,615","11,330","6,757","5,562","22,518","12,175","45,376","7,385","187,559","3,794","29,275","15,837","15,645","8,092","13,630","7,745"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.7%","58.9%","3.8%","16.5%","18.2%","20.5%","29.4%","6.0%","35.3%","35.3%","35.4%","(X)","53.4%","(X)","97.7%","(X)","98.5%","(X)","97.5%","(X)","82.3%","(X)","54.1%","(X)","16.3%","(X)","2.0%","(X)","54.1%","(X)","51.7%","(X)","56.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,811","41,584","2,531","11,528","12,798","14,727","20,350","2,274","22,624","11,452","11,172","(X)","2,705","(X)","13,680","(X)","15,479","(X)","10,723","(X)","5,205","(X)","10,947","(X)","5,649","(X)","2,631","(X)","14,336","(X)","7,304","(X)","7,032"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","87.7%","64.4%","92.3%","86.3%","91.4%","92.2%","94.2%","90.6%","49.9%","83.7%","84.5%","82.9%","(X)","65.9%","(X)","89.5%","(X)","92.0%","(X)","94.6%","(X)","93.6%","(X)","89.9%","(X)","76.5%","(X)","69.3%","(X)","90.5%","(X)","90.3%","(X)","90.8%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,557","3,487","403","1,083","1,090","911","2,116","2,282","4,398","2,096","2,302","(X)","1,401","(X)","1,609","(X)","1,341","(X)","607","(X)","357","(X)","1,228","(X)","1,736","(X)","1,163","(X)","1,501","(X)","788","(X)","713"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12.3%","35.6%","7.7%","13.7%","8.6%","7.8%","5.8%","9.4%","50.1%","16.3%","15.5%","17.1%","(X)","34.1%","(X)","10.5%","(X)","8.0%","(X)","5.4%","(X)","6.4%","(X)","10.1%","(X)","23.5%","(X)","30.7%","(X)","9.5%","(X)","9.7%","(X)","9.2%"
"Torrance CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","37,314","2,751","23,029","1,958","6,499","6,706","7,866","9,597","1,937","11,534","5,346","6,188","3,120","2,286","8,297","8,106","8,692","8,586","5,637","5,572","3,276","2,480","8,954","5,339","17,260","2,574","87,220","2,371","12,230","6,909","6,750","3,359","5,480","3,550"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7.4%","61.7%","5.2%","17.4%","18.0%","21.1%","25.7%","5.2%","30.9%","28.5%","33.4%","(X)","73.3%","(X)","97.7%","(X)","98.8%","(X)","98.8%","(X)","75.7%","(X)","59.6%","(X)","14.9%","(X)","2.7%","(X)","56.5%","(X)","49.8%","(X)","64.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","970","20,066","1,489","5,602","5,851","7,124","7,802","1,170","8,972","4,365","4,607","(X)","755","(X)","6,668","(X)","7,501","(X)","4,995","(X)","2,251","(X)","4,489","(X)","1,825","(X)","1,524","(X)","5,874","(X)","2,928","(X)","2,946"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80.4%","35.3%","87.1%","76.0%","86.2%","87.3%","90.6%","81.3%","60.4%","77.8%","81.6%","74.5%","(X)","33.0%","(X)","82.3%","(X)","87.4%","(X)","89.6%","(X)","90.8%","(X)","84.1%","(X)","70.9%","(X)","64.3%","(X)","85.0%","(X)","87.2%","(X)","83.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,781","2,963","469","897","855","742","1,795","767","2,562","981","1,581","(X)","1,531","(X)","1,438","(X)","1,085","(X)","577","(X)","229","(X)","850","(X)","749","(X)","847","(X)","1,035","(X)","431","(X)","604"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19.6%","64.7%","12.9%","24.0%","13.8%","12.7%","9.4%","18.7%","39.6%","22.2%","18.4%","25.5%","(X)","67.0%","(X)","17.7%","(X)","12.6%","(X)","10.4%","(X)","9.2%","(X)","15.9%","(X)","29.1%","(X)","35.7%","(X)","15.0%","(X)","12.8%","(X)","17.0%"
"Upper San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","87,557","4,893","57,290","4,481","16,152","17,242","19,415","21,828","3,546","25,374","12,950","12,424","8,347","4,349","20,631","20,070","21,929","21,547","13,734","13,373","7,600","6,116","21,904","12,123","43,467","6,183","182,669","3,796","29,504","15,616","15,835","8,321","13,669","7,295"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.6%","65.4%","5.1%","18.4%","19.7%","22.2%","24.9%","4.0%","29.0%","29.5%","28.5%","(X)","52.1%","(X)","97.3%","(X)","98.3%","(X)","97.4%","(X)","80.5%","(X)","55.3%","(X)","14.2%","(X)","2.1%","(X)","52.9%","(X)","52.5%","(X)","53.4%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,968","53,662","3,986","15,121","16,218","18,337","18,628","2,032","20,660","10,725","9,935","(X)","2,656","(X)","18,391","(X)","20,295","(X)","12,598","(X)","5,448","(X)","10,473","(X)","4,669","(X)","2,760","(X)","13,433","(X)","7,264","(X)","6,169"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.3%","60.7%","93.7%","89.0%","93.6%","94.1%","94.4%","85.3%","57.3%","81.4%","82.8%","80.0%","(X)","61.1%","(X)","91.6%","(X)","94.2%","(X)","94.2%","(X)","89.1%","(X)","86.4%","(X)","75.5%","(X)","72.7%","(X)","86.0%","(X)","87.3%","(X)","84.6%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,925","3,628","495","1,031","1,024","1,078","3,200","1,514","4,714","2,225","2,489","(X)","1,693","(X)","1,679","(X)","1,252","(X)","775","(X)","668","(X)","1,650","(X)","1,514","(X)","1,036","(X)","2,183","(X)","1,057","(X)","1,126"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.7%","39.3%","6.3%","11.0%","6.4%","5.9%","5.6%","14.7%","42.7%","18.6%","17.2%","20.0%","(X)","38.9%","(X)","8.4%","(X)","5.8%","(X)","5.8%","(X)","10.9%","(X)","13.6%","(X)","24.5%","(X)","27.3%","(X)","14.0%","(X)","12.7%","(X)","15.4%"
"Whittier CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","90,781","4,604","55,900","3,979","16,137","16,753","19,031","27,132","3,145","30,277","13,648","16,629","8,371","4,013","20,571","19,953","20,861","20,416","13,902","13,558","9,858","7,705","26,174","13,644","45,314","7,235","168,059","4,257","36,032","19,060","17,629","8,532","18,403","10,528"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.1%","61.6%","4.4%","17.8%","18.5%","21.0%","29.9%","3.5%","33.4%","30.6%","36.0%","(X)","47.9%","(X)","97.0%","(X)","97.9%","(X)","97.5%","(X)","78.2%","(X)","52.1%","(X)","16.0%","(X)","2.5%","(X)","52.9%","(X)","48.4%","(X)","57.2%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,842","50,688","3,573","14,345","15,150","17,620","20,995","1,509","22,504","10,290","12,214","(X)","2,586","(X)","17,561","(X)","18,426","(X)","12,600","(X)","5,863","(X)","10,488","(X)","5,509","(X)","3,001","(X)","14,256","(X)","6,491","(X)","7,765"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83.8%","61.7%","90.7%","89.8%","88.9%","90.4%","92.6%","77.4%","48.0%","74.3%","75.4%","73.4%","(X)","64.4%","(X)","88.0%","(X)","90.3%","(X)","92.9%","(X)","76.1%","(X)","76.9%","(X)","76.1%","(X)","70.5%","(X)","74.8%","(X)","76.1%","(X)","73.8%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,762","5,212","406","1,792","1,603","1,411","6,137","1,636","7,773","3,358","4,415","(X)","1,427","(X)","2,392","(X)","1,990","(X)","958","(X)","1,842","(X)","3,156","(X)","1,726","(X)","1,256","(X)","4,804","(X)","2,041","(X)","2,763"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16.2%","38.3%","9.3%","10.2%","11.1%","9.6%","7.4%","22.6%","52.0%","25.7%","24.6%","26.6%","(X)","35.6%","(X)","12.0%","(X)","9.7%","(X)","7.1%","(X)","23.9%","(X)","23.1%","(X)","23.9%","(X)","29.5%","(X)","25.2%","(X)","23.9%","(X)","26.2%"
