"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"        Estimate","68,702","5,888","39,621","3,565","10,909","11,558","13,589","16,552","6,641","23,193","11,164","12,029","6,934","5,148","14,693","14,284","14,947","14,781","9,926","9,655","5,459","4,873","14,474","8,078","39,738","7,307","158,959","4,576","19,933","11,393","10,149","5,605","9,784","5,788"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.6%","57.7%","5.2%","15.9%","16.8%","19.8%","24.1%","9.7%","33.8%","32.0%","35.5%","(X)","74.2%","(X)","97.2%","(X)","98.9%","(X)","97.3%","(X)","89.3%","(X)","55.8%","(X)","18.4%","(X)","2.9%","(X)","57.2%","(X)","55.2%","(X)","59.2%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,172","31,718","2,784","8,748","9,288","10,898","11,988","2,532","14,520","6,601","7,919","(X)","1,834","(X)","11,110","(X)","11,987","(X)","7,565","(X)","3,878","(X)","5,364","(X)","4,029","(X)","2,643","(X)","7,925","(X)","3,901","(X)","4,024"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","70.5%","36.9%","80.1%","78.1%","80.2%","80.4%","80.2%","72.4%","38.1%","62.6%","59.1%","65.8%","(X)","35.6%","(X)","77.8%","(X)","81.1%","(X)","78.4%","(X)","79.6%","(X)","66.4%","(X)","55.1%","(X)","57.8%","(X)","69.6%","(X)","69.6%","(X)","69.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,716","7,903","781","2,161","2,270","2,691","4,564","4,109","8,673","4,563","4,110","(X)","3,314","(X)","3,174","(X)","2,794","(X)","2,090","(X)","995","(X)","2,714","(X)","3,278","(X)","1,933","(X)","3,468","(X)","1,704","(X)","1,764"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","29.5%","63.1%","19.9%","21.9%","19.8%","19.6%","19.8%","27.6%","61.9%","37.4%","40.9%","34.2%","(X)","64.4%","(X)","22.2%","(X)","18.9%","(X)","21.6%","(X)","20.4%","(X)","33.6%","(X)","44.9%","(X)","42.2%","(X)","30.4%","(X)","30.4%","(X)","30.5%"
"San Fernando Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","469,425","28,369","286,729","24,187","82,123","85,372","95,047","129,515","24,812","154,327","72,136","82,191","44,933","25,714","106,506","103,433","107,519","105,654","67,948","66,032","43,268","34,079","128,908","63,511","294,188","42,008","1,004,257","28,994","172,176","85,395","88,536","41,117","83,640","44,278"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.0%","61.1%","5.2%","17.5%","18.2%","20.2%","27.6%","5.3%","32.9%","30.9%","34.9%","(X)","57.2%","(X)","97.1%","(X)","98.3%","(X)","97.2%","(X)","78.8%","(X)","49.3%","(X)","14.3%","(X)","2.9%","(X)","49.6%","(X)","46.4%","(X)","52.9%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","15,208","251,364","20,847","71,917","74,812","83,788","110,483","13,991","124,474","59,065","65,409","(X)","14,012","(X)","89,143","(X)","92,864","(X)","58,096","(X)","30,024","(X)","53,475","(X)","32,454","(X)","20,978","(X)","72,899","(X)","35,802","(X)","37,097"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83.3%","53.6%","87.7%","86.2%","87.6%","87.6%","88.2%","85.3%","56.4%","80.7%","81.9%","79.6%","(X)","54.5%","(X)","86.2%","(X)","87.9%","(X)","88.0%","(X)","88.1%","(X)","84.2%","(X)","77.3%","(X)","72.4%","(X)","85.4%","(X)","87.1%","(X)","83.8%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","13,161","35,365","3,340","10,206","10,560","11,259","19,032","10,821","29,853","13,071","16,782","(X)","11,702","(X)","14,290","(X)","12,790","(X)","7,936","(X)","4,055","(X)","10,036","(X)","9,554","(X)","8,016","(X)","12,496","(X)","5,315","(X)","7,181"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16.7%","46.4%","12.3%","13.8%","12.4%","12.4%","11.8%","14.7%","43.6%","19.3%","18.1%","20.4%","(X)","45.5%","(X)","13.8%","(X)","12.1%","(X)","12.0%","(X)","11.9%","(X)","15.8%","(X)","22.7%","(X)","27.6%","(X)","14.6%","(X)","12.9%","(X)","16.2%"
"Santa Monica CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,787","1,092","9,626","993","2,690","2,695","3,248","4,409","2,660","7,069","3,607","3,462","1,212","860","3,619","3,609","3,471","3,425","2,390","2,349","1,304","1,207","4,602","2,082","19,255","2,586","53,138","1,669","5,906","2,887","3,088","1,755","2,818","1,132"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.1%","54.1%","5.6%","15.1%","15.2%","18.3%","24.8%","15.0%","39.7%","39.1%","40.5%","(X)","71.0%","(X)","99.7%","(X)","98.7%","(X)","98.3%","(X)","92.6%","(X)","45.2%","(X)","13.4%","(X)","3.1%","(X)","48.9%","(X)","56.8%","(X)","40.2%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","438","7,436","653","2,204","2,142","2,437","3,872","1,147","5,019","2,596","2,423","(X)","319","(X)","2,764","(X)","2,693","(X)","1,808","(X)","985","(X)","1,754","(X)","1,494","(X)","1,076","(X)","2,503","(X)","1,529","(X)","974"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","72.5%","40.1%","77.2%","65.8%","81.9%","79.5%","75.0%","87.8%","43.1%","71.0%","72.0%","70.0%","(X)","37.1%","(X)","76.6%","(X)","78.6%","(X)","77.0%","(X)","81.6%","(X)","84.2%","(X)","57.8%","(X)","64.5%","(X)","86.7%","(X)","87.1%","(X)","86.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","654","2,190","340","486","553","811","537","1,513","2,050","1,011","1,039","(X)","541","(X)","845","(X)","732","(X)","541","(X)","222","(X)","328","(X)","1,092","(X)","593","(X)","384","(X)","226","(X)","158"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","27.5%","59.9%","22.8%","34.2%","18.1%","20.5%","25.0%","12.2%","56.9%","29.0%","28.0%","30.0%","(X)","62.9%","(X)","23.4%","(X)","21.4%","(X)","23.0%","(X)","18.4%","(X)","15.8%","(X)","42.2%","(X)","35.5%","(X)","13.3%","(X)","12.9%","(X)","14.0%"
"South Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","65,673","3,161","46,134","3,667","12,693","13,663","16,111","14,584","1,794","16,378","6,923","9,455","6,691","2,573","16,705","15,739","17,292","17,072","10,986","10,870","6,143","4,333","15,724","7,211","27,826","4,228","104,271","3,647","21,867","8,896","11,506","4,258","10,361","4,638"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.8%","70.2%","5.6%","19.3%","20.8%","24.5%","22.2%","2.7%","24.9%","21.3%","28.5%","(X)","38.5%","(X)","94.2%","(X)","98.7%","(X)","98.9%","(X)","70.5%","(X)","45.9%","(X)","15.2%","(X)","3.5%","(X)","40.7%","(X)","37.0%","(X)","44.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,193","42,820","3,212","11,763","12,989","14,856","12,371","961","13,332","5,576","7,756","(X)","1,771","(X)","14,301","(X)","16,178","(X)","10,002","(X)","3,914","(X)","6,257","(X)","3,359","(X)","2,563","(X)","7,752","(X)","3,674","(X)","4,078"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.8%","69.4%","92.8%","87.6%","92.7%","95.1%","92.2%","84.8%","53.6%","81.4%","80.5%","82.0%","(X)","68.8%","(X)","90.9%","(X)","94.8%","(X)","92.0%","(X)","90.3%","(X)","86.8%","(X)","79.4%","(X)","70.3%","(X)","87.1%","(X)","86.3%","(X)","87.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","968","3,314","455","930","674","1,255","2,213","833","3,046","1,347","1,699","(X)","802","(X)","1,438","(X)","894","(X)","868","(X)","419","(X)","954","(X)","869","(X)","1,084","(X)","1,144","(X)","584","(X)","560"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.2%","30.6%","7.2%","12.4%","7.3%","4.9%","7.8%","15.2%","46.4%","18.6%","19.5%","18.0%","(X)","31.2%","(X)","9.1%","(X)","5.2%","(X)","8.0%","(X)","9.7%","(X)","13.2%","(X)","20.6%","(X)","29.7%","(X)","12.9%","(X)","13.7%","(X)","12.1%"
"South Bay Cities CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","33,088","3,455","22,188","2,007","6,810","6,426","6,945","5,223","2,222","7,445","3,613","3,832","3,741","2,963","8,697","8,546","8,308","8,232","5,180","5,144","1,725","1,545","4,761","2,057","19,731","2,459","82,524","2,142","6,486","2,909","3,217","1,613","3,269","1,296"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","10.4%","67.1%","6.1%","20.6%","19.4%","21.0%","15.8%","6.7%","22.5%","21.2%","23.9%","(X)","79.2%","(X)","98.3%","(X)","99.1%","(X)","99.3%","(X)","89.6%","(X)","43.2%","(X)","12.5%","(X)","2.6%","(X)","44.9%","(X)","50.1%","(X)","39.6%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,085","19,509","1,708","6,259","5,532","6,010","4,371","1,163","5,534","2,883","2,651","(X)","914","(X)","7,506","(X)","7,124","(X)","4,412","(X)","1,318","(X)","1,708","(X)","1,830","(X)","1,316","(X)","2,453","(X)","1,444","(X)","1,009"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","79.0%","31.4%","87.9%","85.1%","91.9%","86.1%","86.5%","83.7%","52.3%","74.3%","79.8%","69.2%","(X)","30.8%","(X)","87.8%","(X)","86.5%","(X)","85.8%","(X)","85.3%","(X)","83.0%","(X)","74.4%","(X)","61.4%","(X)","84.3%","(X)","89.5%","(X)","77.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,370","2,679","299","551","894","935","852","1,059","1,911","730","1,181","(X)","2,049","(X)","1,040","(X)","1,108","(X)","732","(X)","227","(X)","349","(X)","629","(X)","826","(X)","456","(X)","169","(X)","287"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21.0%","68.6%","12.1%","14.9%","8.1%","13.9%","13.5%","16.3%","47.7%","25.7%","20.2%","30.8%","(X)","69.2%","(X)","12.2%","(X)","13.5%","(X)","14.2%","(X)","14.7%","(X)","17.0%","(X)","25.6%","(X)","38.6%","(X)","15.7%","(X)","10.5%","(X)","22.1%"
"South Gate-East Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","152,188","8,529","107,168","8,661","30,850","32,573","35,084","33,944","2,547","36,491","15,354","21,137","15,468","7,296","40,247","39,101","39,784","39,235","24,405","23,648","15,289","11,002","41,592","17,651","79,301","9,151","220,181","5,104","56,881","23,698","28,079","10,282","28,802","13,416"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.6%","70.4%","5.7%","20.3%","21.4%","23.1%","22.3%","1.7%","24.0%","20.8%","27.0%","(X)","47.2%","(X)","97.2%","(X)","98.6%","(X)","96.9%","(X)","72.0%","(X)","42.4%","(X)","11.5%","(X)","2.3%","(X)","41.7%","(X)","36.6%","(X)","46.6%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8,073","104,101","8,414","29,843","31,600","34,244","31,496","1,713","33,209","14,248","18,961","(X)","6,862","(X)","37,852","(X)","38,073","(X)","23,118","(X)","10,694","(X)","16,288","(X)","8,145","(X)","4,351","(X)","22,172","(X)","9,718","(X)","12,454"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","95.5%","94.7%","97.1%","97.1%","96.7%","97.0%","97.6%","92.8%","67.3%","91.0%","92.8%","89.7%","(X)","94.1%","(X)","96.8%","(X)","97.0%","(X)","97.8%","(X)","97.2%","(X)","92.3%","(X)","89.0%","(X)","85.2%","(X)","93.6%","(X)","94.5%","(X)","92.8%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","456","3,067","247","1,007","973","840","2,448","834","3,282","1,106","2,176","(X)","434","(X)","1,249","(X)","1,162","(X)","530","(X)","308","(X)","1,363","(X)","1,006","(X)","753","(X)","1,526","(X)","564","(X)","962"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4.5%","5.3%","2.9%","2.9%","3.3%","3.0%","2.4%","7.2%","32.7%","9.0%","7.2%","10.3%","(X)","5.9%","(X)","3.2%","(X)","3.0%","(X)","2.2%","(X)","2.8%","(X)","7.7%","(X)","11.0%","(X)","14.8%","(X)","6.4%","(X)","5.5%","(X)","7.2%"
"Southwest San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","75,295","4,374","44,066","3,511","12,092","13,444","15,019","22,385","4,470","26,855","13,133","13,722","7,798","4,447","15,260","15,000","16,608","16,197","11,032","10,681","6,702","5,550","21,369","11,492","47,776","7,840","186,954","4,088","28,071","15,162","14,263","7,543","13,808","7,619"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.8%","58.5%","4.7%","16.1%","17.9%","19.9%","29.7%","5.9%","35.7%","34.4%","37.0%","(X)","57.0%","(X)","98.3%","(X)","97.5%","(X)","96.8%","(X)","82.8%","(X)","53.8%","(X)","16.4%","(X)","2.2%","(X)","54.0%","(X)","52.9%","(X)","55.2%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,917","41,014","3,084","11,160","12,609","14,161","20,532","2,472","23,004","11,245","11,759","(X)","3,125","(X)","13,558","(X)","15,144","(X)","10,141","(X)","5,181","(X)","10,680","(X)","6,053","(X)","3,053","(X)","14,085","(X)","6,974","(X)","7,111"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.9%","66.7%","93.1%","87.8%","92.3%","93.8%","94.3%","91.7%","55.3%","85.7%","85.6%","85.7%","(X)","70.3%","(X)","90.4%","(X)","93.5%","(X)","94.9%","(X)","93.4%","(X)","92.9%","(X)","77.2%","(X)","74.7%","(X)","92.9%","(X)","92.5%","(X)","93.3%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,457","3,052","427","932","835","858","1,853","1,998","3,851","1,888","1,963","(X)","1,322","(X)","1,442","(X)","1,053","(X)","540","(X)","369","(X)","812","(X)","1,787","(X)","1,035","(X)","1,077","(X)","569","(X)","508"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.1%","33.3%","6.9%","12.2%","7.7%","6.2%","5.7%","8.3%","44.7%","14.3%","14.4%","14.3%","(X)","29.7%","(X)","9.6%","(X)","6.5%","(X)","5.1%","(X)","6.6%","(X)","7.1%","(X)","22.8%","(X)","25.3%","(X)","7.1%","(X)","7.5%","(X)","6.7%"
"Torrance CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","34,686","3,021","21,514","1,951","6,285","6,145","7,133","8,111","2,040","10,151","4,611","5,540","3,178","2,358","8,428","8,258","7,848","7,736","5,267","5,153","2,728","2,145","8,076","4,547","18,777","2,488","86,280","2,001","10,804","5,863","5,858","2,909","4,946","2,954"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.7%","62.0%","5.6%","18.1%","17.7%","20.6%","23.4%","5.9%","29.3%","26.1%","32.6%","(X)","74.2%","(X)","98.0%","(X)","98.6%","(X)","97.8%","(X)","78.6%","(X)","56.3%","(X)","13.3%","(X)","2.3%","(X)","54.3%","(X)","49.7%","(X)","59.7%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,044","18,917","1,646","5,429","5,377","6,465","6,995","1,143","8,138","3,727","4,411","(X)","744","(X)","6,829","(X)","6,777","(X)","4,689","(X)","1,973","(X)","3,942","(X)","1,860","(X)","1,285","(X)","5,143","(X)","2,557","(X)","2,586"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","81.0%","34.6%","87.9%","84.4%","86.4%","87.5%","90.6%","86.2%","56.0%","80.2%","80.8%","79.6%","(X)","31.6%","(X)","82.7%","(X)","87.6%","(X)","91.0%","(X)","92.0%","(X)","86.7%","(X)","74.8%","(X)","64.2%","(X)","87.7%","(X)","87.9%","(X)","87.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,977","2,597","305","856","768","668","1,116","897","2,013","884","1,129","(X)","1,614","(X)","1,429","(X)","959","(X)","464","(X)","172","(X)","605","(X)","628","(X)","716","(X)","720","(X)","352","(X)","368"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19.0%","65.4%","12.1%","15.6%","13.6%","12.5%","9.4%","13.8%","44.0%","19.8%","19.2%","20.4%","(X)","68.4%","(X)","17.3%","(X)","12.4%","(X)","9.0%","(X)","8.0%","(X)","13.3%","(X)","25.2%","(X)","35.8%","(X)","12.3%","(X)","12.1%","(X)","12.5%"
"Upper San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","87,115","5,036","56,842","4,517","15,418","17,813","19,094","21,530","3,707","25,237","12,381","12,856","8,098","4,542","20,063","19,510","22,468","22,108","13,067","12,779","7,573","6,100","21,695","11,394","44,650","6,567","184,276","4,115","29,268","14,904","15,476","7,528","13,792","7,376"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.8%","65.2%","5.2%","17.7%","20.4%","21.9%","24.7%","4.3%","29.0%","28.2%","29.7%","(X)","56.1%","(X)","97.2%","(X)","98.4%","(X)","97.8%","(X)","80.5%","(X)","52.5%","(X)","14.7%","(X)","2.2%","(X)","50.9%","(X)","48.6%","(X)","53.5%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,015","53,820","4,180","14,587","16,910","18,143","18,816","1,992","20,808","10,539","10,269","(X)","2,721","(X)","18,264","(X)","20,926","(X)","12,153","(X)","5,458","(X)","9,987","(X)","5,184","(X)","2,950","(X)","13,016","(X)","6,690","(X)","6,326"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.1%","59.9%","94.7%","92.5%","94.6%","94.9%","95.0%","87.4%","53.7%","82.5%","85.1%","79.9%","(X)","59.9%","(X)","93.6%","(X)","94.7%","(X)","95.1%","(X)","89.5%","(X)","87.7%","(X)","78.9%","(X)","71.7%","(X)","87.3%","(X)","88.9%","(X)","85.8%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,021","3,022","337","831","903","951","2,714","1,715","4,429","1,842","2,587","(X)","1,821","(X)","1,246","(X)","1,182","(X)","626","(X)","642","(X)","1,407","(X)","1,383","(X)","1,165","(X)","1,888","(X)","838","(X)","1,050"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.9%","40.1%","5.3%","7.5%","5.4%","5.1%","5.0%","12.6%","46.3%","17.5%","14.9%","20.1%","(X)","40.1%","(X)","6.4%","(X)","5.3%","(X)","4.9%","(X)","10.5%","(X)","12.3%","(X)","21.1%","(X)","28.3%","(X)","12.7%","(X)","11.1%","(X)","14.2%"
"Whittier CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83,854","4,382","51,345","3,849","14,098","16,001","17,397","24,985","3,142","28,127","12,513","15,614","8,044","3,721","19,387","17,906","21,145","19,411","13,853","12,524","9,725","7,105","25,111","12,425","46,127","6,828","170,575","3,934","34,836","17,659","16,938","7,677","17,898","9,982"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.2%","61.2%","4.6%","16.8%","19.1%","20.7%","29.8%","3.7%","33.5%","30.8%","36.2%","(X)","46.3%","(X)","92.4%","(X)","91.8%","(X)","90.4%","(X)","73.1%","(X)","49.5%","(X)","14.8%","(X)","2.3%","(X)","50.7%","(X)","45.3%","(X)","55.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,666","46,450","3,445","12,309","14,558","16,138","18,983","1,485","20,468","9,468","11,000","(X)","2,303","(X)","15,485","(X)","17,712","(X)","11,616","(X)","5,194","(X)","9,215","(X)","5,333","(X)","2,726","(X)","12,705","(X)","5,814","(X)","6,891"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83.0%","60.8%","90.5%","89.5%","87.3%","91.0%","92.8%","76.0%","47.3%","72.8%","75.7%","70.4%","(X)","61.9%","(X)","86.5%","(X)","91.2%","(X)","92.7%","(X)","73.1%","(X)","74.2%","(X)","78.1%","(X)","69.3%","(X)","71.9%","(X)","75.7%","(X)","69.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,716","4,895","404","1,789","1,443","1,259","6,002","1,657","7,659","3,045","4,614","(X)","1,418","(X)","2,421","(X)","1,699","(X)","908","(X)","1,911","(X)","3,210","(X)","1,495","(X)","1,208","(X)","4,954","(X)","1,863","(X)","3,091"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17.0%","39.2%","9.5%","10.5%","12.7%","9.0%","7.2%","24.0%","52.7%","27.2%","24.3%","29.6%","(X)","38.1%","(X)","13.5%","(X)","8.8%","(X)","7.3%","(X)","26.9%","(X)","25.8%","(X)","21.9%","(X)","30.7%","(X)","28.1%","(X)","24.3%","(X)","31.0%"
