"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"        Estimate","70,097","5,869","40,297","3,463","11,528","11,728","13,578","16,979","6,952","23,931","11,792","12,139","6,972","5,138","14,905","14,653","15,130","14,961","9,899","9,658","5,713","4,989","15,960","8,784","40,057","7,545","158,148","4,369","21,673","12,079","11,488","6,048","10,185","6,031"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.4%","57.5%","4.9%","16.4%","16.7%","19.4%","24.2%","9.9%","34.1%","32.2%","36.3%","(X)","73.7%","(X)","98.3%","(X)","98.9%","(X)","97.6%","(X)","87.3%","(X)","55.0%","(X)","18.8%","(X)","2.8%","(X)","55.7%","(X)","52.6%","(X)","59.2%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,232","32,160","2,735","9,046","9,393","10,986","11,909","2,657","14,566","6,669","7,897","(X)","1,896","(X)","11,261","(X)","12,098","(X)","7,666","(X)","3,892","(X)","5,431","(X)","4,319","(X)","2,395","(X)","7,896","(X)","3,878","(X)","4,018"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","69.8%","38.0%","79.8%","79.0%","78.5%","80.1%","80.9%","70.1%","38.2%","60.9%","56.6%","65.1%","(X)","36.9%","(X)","76.9%","(X)","80.9%","(X)","79.4%","(X)","78.0%","(X)","61.8%","(X)","57.2%","(X)","54.8%","(X)","65.4%","(X)","64.1%","(X)","66.6%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3,637","8,137","728","2,482","2,335","2,592","5,070","4,295","9,365","5,123","4,242","(X)","3,242","(X)","3,392","(X)","2,863","(X)","1,992","(X)","1,097","(X)","3,353","(X)","3,226","(X)","1,974","(X)","4,183","(X)","2,170","(X)","2,013"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","30.2%","62.0%","20.2%","21.0%","21.5%","19.9%","19.1%","29.9%","61.8%","39.1%","43.4%","34.9%","(X)","63.1%","(X)","23.1%","(X)","19.1%","(X)","20.6%","(X)","22.0%","(X)","38.2%","(X)","42.8%","(X)","45.2%","(X)","34.6%","(X)","35.9%","(X)","33.4%"
"San Fernando Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","471,830","29,612","289,212","23,731","83,016","84,970","97,495","128,901","24,105","153,006","70,707","82,299","46,353","26,437","107,790","104,715","107,378","105,704","68,657","66,901","43,445","34,122","130,330","63,878","293,865","41,452","995,515","28,621","173,775","84,774","88,117","40,164","85,658","44,610"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.3%","61.3%","5.0%","17.6%","18.0%","20.7%","27.3%","5.1%","32.4%","30.2%","34.7%","(X)","57.0%","(X)","97.1%","(X)","98.4%","(X)","97.4%","(X)","78.5%","(X)","49.0%","(X)","14.1%","(X)","2.9%","(X)","48.8%","(X)","45.6%","(X)","52.1%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","15,849","254,045","20,489","73,286","74,800","85,470","108,973","13,456","122,429","57,356","65,073","(X)","14,461","(X)","90,674","(X)","92,849","(X)","58,932","(X)","29,671","(X)","53,350","(X)","31,301","(X)","21,085","(X)","71,609","(X)","34,394","(X)","37,215"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83.1%","53.5%","87.8%","86.3%","88.3%","88.0%","87.7%","84.5%","55.8%","80.0%","81.1%","79.1%","(X)","54.7%","(X)","86.6%","(X)","87.8%","(X)","88.1%","(X)","87.0%","(X)","83.5%","(X)","75.5%","(X)","73.7%","(X)","84.5%","(X)","85.6%","(X)","83.4%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","13,763","35,167","3,242","9,730","10,170","12,025","19,928","10,649","30,577","13,351","17,226","(X)","11,976","(X)","14,041","(X)","12,855","(X)","7,969","(X)","4,451","(X)","10,528","(X)","10,151","(X)","7,536","(X)","13,165","(X)","5,770","(X)","7,395"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16.9%","46.5%","12.2%","13.7%","11.7%","12.0%","12.3%","15.5%","44.2%","20.0%","18.9%","20.9%","(X)","45.3%","(X)","13.4%","(X)","12.2%","(X)","11.9%","(X)","13.0%","(X)","16.5%","(X)","24.5%","(X)","26.3%","(X)","15.5%","(X)","14.4%","(X)","16.6%"
"Santa Monica CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,224","1,199","9,254","902","2,620","2,558","3,174","4,303","2,468","6,771","3,526","3,245","1,332","981","3,522","3,488","3,261","3,238","2,424","2,382","1,026","934","5,010","2,315","18,889","2,363","54,019","1,523","6,036","2,955","3,328","1,832","2,708","1,123"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7.0%","53.7%","5.2%","15.2%","14.9%","18.4%","25.0%","14.3%","39.3%","40.3%","38.3%","(X)","73.6%","(X)","99.0%","(X)","99.3%","(X)","98.3%","(X)","91.0%","(X)","46.2%","(X)","12.5%","(X)","2.8%","(X)","49.0%","(X)","55.0%","(X)","41.5%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","592","7,234","597","2,159","2,086","2,392","3,683","997","4,680","2,594","2,086","(X)","486","(X)","2,717","(X)","2,578","(X)","1,825","(X)","740","(X)","1,924","(X)","1,362","(X)","874","(X)","2,499","(X)","1,576","(X)","923"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","72.6%","49.4%","78.2%","66.2%","82.4%","81.5%","75.4%","85.6%","40.4%","69.1%","73.6%","64.3%","(X)","49.5%","(X)","77.9%","(X)","79.6%","(X)","76.6%","(X)","79.2%","(X)","83.1%","(X)","57.6%","(X)","57.4%","(X)","84.6%","(X)","86.0%","(X)","82.2%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","607","2,020","305","461","472","782","620","1,471","2,091","932","1,159","(X)","495","(X)","771","(X)","660","(X)","557","(X)","194","(X)","391","(X)","1,001","(X)","649","(X)","456","(X)","256","(X)","200"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","27.4%","50.6%","21.8%","33.8%","17.6%","18.5%","24.6%","14.4%","59.6%","30.9%","26.4%","35.7%","(X)","50.5%","(X)","22.1%","(X)","20.4%","(X)","23.4%","(X)","20.8%","(X)","16.9%","(X)","42.4%","(X)","42.6%","(X)","15.4%","(X)","14.0%","(X)","17.8%"
"South Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","67,188","3,275","47,401","3,848","13,184","13,846","16,523","14,725","1,787","16,512","7,257","9,255","7,130","2,889","17,216","16,273","17,298","17,092","11,173","11,080","6,331","4,536","15,401","7,082","27,823","4,481","103,513","3,755","21,732","8,666","11,650","4,261","10,082","4,405"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.9%","70.5%","5.7%","19.6%","20.6%","24.6%","21.9%","2.7%","24.6%","21.6%","27.6%","(X)","40.5%","(X)","94.5%","(X)","98.8%","(X)","99.2%","(X)","71.6%","(X)","46.0%","(X)","16.1%","(X)","3.6%","(X)","39.9%","(X)","36.6%","(X)","43.7%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,362","43,698","3,382","11,962","13,193","15,161","12,286","1,013","13,299","5,847","7,452","(X)","2,049","(X)","14,653","(X)","16,128","(X)","10,252","(X)","4,055","(X)","6,074","(X)","3,533","(X)","2,615","(X)","7,473","(X)","3,666","(X)","3,807"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.3%","72.1%","92.2%","87.9%","90.7%","95.3%","91.8%","83.4%","56.7%","80.5%","80.6%","80.5%","(X)","70.9%","(X)","90.0%","(X)","94.4%","(X)","92.5%","(X)","89.4%","(X)","85.8%","(X)","78.8%","(X)","69.6%","(X)","86.2%","(X)","86.0%","(X)","86.4%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","913","3,703","466","1,222","653","1,362","2,439","774","3,213","1,410","1,803","(X)","840","(X)","1,620","(X)","964","(X)","828","(X)","481","(X)","1,008","(X)","948","(X)","1,140","(X)","1,193","(X)","595","(X)","598"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.7%","27.9%","7.8%","12.1%","9.3%","4.7%","8.2%","16.6%","43.3%","19.5%","19.4%","19.5%","(X)","29.1%","(X)","10.0%","(X)","5.6%","(X)","7.5%","(X)","10.6%","(X)","14.2%","(X)","21.2%","(X)","30.4%","(X)","13.8%","(X)","14.0%","(X)","13.6%"
"South Bay Cities CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","32,954","3,228","22,346","2,267","6,584","6,623","6,872","5,186","2,194","7,380","3,533","3,847","3,490","2,635","8,805","8,663","8,357","8,285","5,177","5,100","1,839","1,525","4,966","2,287","19,791","2,386","82,601","2,073","6,805","2,963","3,406","1,657","3,399","1,306"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","9.8%","67.8%","6.9%","20.0%","20.1%","20.9%","15.7%","6.7%","22.4%","20.7%","24.2%","(X)","75.5%","(X)","98.4%","(X)","99.1%","(X)","98.5%","(X)","82.9%","(X)","46.1%","(X)","12.1%","(X)","2.5%","(X)","43.5%","(X)","48.6%","(X)","38.4%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,184","19,479","1,936","6,150","5,378","6,015","4,248","1,088","5,336","2,711","2,625","(X)","922","(X)","7,713","(X)","6,781","(X)","4,501","(X)","1,284","(X)","1,863","(X)","1,640","(X)","1,295","(X)","2,443","(X)","1,433","(X)","1,010"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","78.9%","36.7%","87.2%","85.4%","93.4%","81.2%","87.5%","81.9%","49.6%","72.3%","76.7%","68.2%","(X)","35.0%","(X)","89.0%","(X)","81.8%","(X)","88.3%","(X)","84.2%","(X)","81.5%","(X)","68.7%","(X)","62.5%","(X)","82.5%","(X)","86.5%","(X)","77.3%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,044","2,867","331","434","1,245","857","938","1,106","2,044","822","1,222","(X)","1,713","(X)","950","(X)","1,504","(X)","599","(X)","241","(X)","424","(X)","746","(X)","778","(X)","520","(X)","224","(X)","296"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21.1%","63.3%","12.8%","14.6%","6.6%","18.8%","12.5%","18.1%","50.4%","27.7%","23.3%","31.8%","(X)","65.0%","(X)","11.0%","(X)","18.2%","(X)","11.7%","(X)","15.8%","(X)","18.5%","(X)","31.3%","(X)","37.5%","(X)","17.5%","(X)","13.5%","(X)","22.7%"
"South Gate-East Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","153,805","8,785","108,503","8,853","32,305","32,011","35,334","34,208","2,309","36,517","15,994","20,523","16,320","7,458","41,969","40,767","39,459","38,907","24,424","23,595","15,895","11,506","43,747","18,105","79,375","8,719","219,005","4,748","59,642","24,419","30,231","11,117","29,411","13,302"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.7%","70.5%","5.8%","21.0%","20.8%","23.0%","22.2%","1.5%","23.7%","21.2%","26.2%","(X)","45.7%","(X)","97.1%","(X)","98.6%","(X)","96.6%","(X)","72.4%","(X)","41.4%","(X)","11.0%","(X)","2.2%","(X)","40.9%","(X)","36.8%","(X)","45.2%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8,364","105,718","8,594","31,364","31,130","34,630","31,703","1,687","33,390","14,914","18,476","(X)","7,038","(X)","39,563","(X)","37,892","(X)","23,143","(X)","11,227","(X)","16,761","(X)","7,787","(X)","4,061","(X)","22,884","(X)","10,513","(X)","12,371"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","95.9%","95.2%","97.4%","97.1%","97.1%","97.2%","98.0%","92.7%","73.1%","91.4%","93.2%","90.0%","(X)","94.4%","(X)","97.0%","(X)","97.4%","(X)","98.1%","(X)","97.6%","(X)","92.6%","(X)","89.3%","(X)","85.5%","(X)","93.7%","(X)","94.6%","(X)","93.0%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","421","2,785","259","941","881","704","2,505","622","3,127","1,080","2,047","(X)","420","(X)","1,204","(X)","1,015","(X)","452","(X)","279","(X)","1,344","(X)","932","(X)","687","(X)","1,535","(X)","604","(X)","931"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4.1%","4.8%","2.6%","2.9%","2.9%","2.8%","2.0%","7.3%","26.9%","8.6%","6.8%","10.0%","(X)","5.6%","(X)","3.0%","(X)","2.6%","(X)","1.9%","(X)","2.4%","(X)","7.4%","(X)","10.7%","(X)","14.5%","(X)","6.3%","(X)","5.4%","(X)","7.0%"
"Southwest San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","75,848","4,265","44,391","2,964","12,056","13,797","15,574","22,738","4,454","27,192","13,466","13,726","7,277","4,042","14,981","14,676","17,119","16,716","11,380","11,068","6,945","5,710","22,053","12,048","46,994","7,710","188,516","3,878","28,998","15,756","15,011","8,047","13,987","7,709"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.6%","58.5%","3.9%","15.9%","18.2%","20.5%","30.0%","5.9%","35.9%","35.4%","36.3%","(X)","55.5%","(X)","98.0%","(X)","97.6%","(X)","97.3%","(X)","82.2%","(X)","54.6%","(X)","16.4%","(X)","2.1%","(X)","54.3%","(X)","53.6%","(X)","55.1%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,713","41,088","2,568","11,029","12,794","14,697","20,976","2,392","23,368","11,734","11,634","(X)","2,620","(X)","13,169","(X)","15,427","(X)","10,555","(X)","5,389","(X)","11,197","(X)","6,032","(X)","2,780","(X)","14,684","(X)","7,528","(X)","7,156"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88.6%","63.6%","92.6%","86.6%","91.5%","92.7%","94.4%","92.3%","53.7%","85.9%","87.1%","84.8%","(X)","64.8%","(X)","89.7%","(X)","92.3%","(X)","95.4%","(X)","94.4%","(X)","92.9%","(X)","78.2%","(X)","71.7%","(X)","93.2%","(X)","93.6%","(X)","92.8%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,552","3,303","396","1,027","1,003","877","1,762","2,062","3,824","1,732","2,092","(X)","1,422","(X)","1,507","(X)","1,289","(X)","513","(X)","321","(X)","851","(X)","1,678","(X)","1,098","(X)","1,072","(X)","519","(X)","553"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.4%","36.4%","7.4%","13.4%","8.5%","7.3%","5.6%","7.7%","46.3%","14.1%","12.9%","15.2%","(X)","35.2%","(X)","10.3%","(X)","7.7%","(X)","4.6%","(X)","5.6%","(X)","7.1%","(X)","21.8%","(X)","28.3%","(X)","6.8%","(X)","6.4%","(X)","7.2%"
"Torrance CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","35,841","2,930","22,317","2,066","6,503","6,217","7,531","8,724","1,870","10,594","5,027","5,567","3,159","2,396","8,522","8,332","8,035","7,948","5,450","5,332","2,852","2,223","8,885","4,862","18,055","2,590","87,019","2,158","11,737","6,166","6,601","3,096","5,136","3,070"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.2%","62.3%","5.8%","18.1%","17.3%","21.0%","24.3%","5.2%","29.6%","27.6%","31.6%","(X)","75.8%","(X)","97.8%","(X)","98.9%","(X)","97.8%","(X)","77.9%","(X)","54.7%","(X)","14.3%","(X)","2.5%","(X)","52.5%","(X)","46.9%","(X)","59.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","952","19,538","1,676","5,691","5,432","6,739","7,236","1,087","8,323","4,012","4,311","(X)","716","(X)","6,977","(X)","6,918","(X)","4,790","(X)","2,005","(X)","4,120","(X)","1,893","(X)","1,394","(X)","5,261","(X)","2,696","(X)","2,565"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80.4%","32.5%","87.5%","81.1%","87.5%","87.4%","89.5%","82.9%","58.1%","78.6%","79.8%","77.4%","(X)","29.9%","(X)","83.7%","(X)","87.0%","(X)","89.8%","(X)","90.2%","(X)","84.7%","(X)","73.1%","(X)","64.6%","(X)","85.3%","(X)","87.1%","(X)","83.6%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,978","2,779","390","812","785","792","1,488","783","2,271","1,015","1,256","(X)","1,680","(X)","1,355","(X)","1,030","(X)","542","(X)","218","(X)","742","(X)","697","(X)","764","(X)","905","(X)","400","(X)","505"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19.6%","67.5%","12.5%","18.9%","12.5%","12.6%","10.5%","17.1%","41.9%","21.4%","20.2%","22.6%","(X)","70.1%","(X)","16.3%","(X)","13.0%","(X)","10.2%","(X)","9.8%","(X)","15.3%","(X)","26.9%","(X)","35.4%","(X)","14.7%","(X)","12.9%","(X)","16.4%"
"Upper San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","87,300","4,695","57,851","4,687","15,717","17,800","19,647","21,174","3,580","24,754","12,214","12,540","8,180","4,296","20,468","19,956","22,319","22,010","13,680","13,397","7,684","6,190","21,695","11,416","44,017","6,307","184,388","3,728","29,379","14,982","15,754","7,664","13,625","7,318"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","5.4%","66.3%","5.4%","18.0%","20.4%","22.5%","24.3%","4.1%","28.4%","27.6%","29.2%","(X)","52.5%","(X)","97.5%","(X)","98.6%","(X)","97.9%","(X)","80.6%","(X)","52.6%","(X)","14.3%","(X)","2.0%","(X)","51.0%","(X)","48.6%","(X)","53.7%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,839","54,540","4,299","14,719","16,853","18,669","18,462","1,982","20,444","10,273","10,171","(X)","2,656","(X)","18,464","(X)","20,779","(X)","12,745","(X)","5,537","(X)","9,993","(X)","4,936","(X)","2,713","(X)","13,052","(X)","6,786","(X)","6,266"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","89.1%","60.5%","94.3%","91.7%","93.7%","94.7%","95.0%","87.2%","55.4%","82.6%","84.1%","81.1%","(X)","61.8%","(X)","92.5%","(X)","94.4%","(X)","95.1%","(X)","89.5%","(X)","87.5%","(X)","78.3%","(X)","72.8%","(X)","87.1%","(X)","88.5%","(X)","85.6%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,856","3,311","388","998","947","978","2,712","1,598","4,310","1,941","2,369","(X)","1,640","(X)","1,492","(X)","1,231","(X)","652","(X)","653","(X)","1,423","(X)","1,371","(X)","1,015","(X)","1,930","(X)","878","(X)","1,052"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.9%","39.5%","5.7%","8.3%","6.3%","5.3%","5.0%","12.8%","44.6%","17.4%","15.9%","18.9%","(X)","38.2%","(X)","7.5%","(X)","5.6%","(X)","4.9%","(X)","10.5%","(X)","12.5%","(X)","21.7%","(X)","27.2%","(X)","12.9%","(X)","11.5%","(X)","14.4%"
"Whittier CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88,096","4,358","54,346","4,019","15,262","16,570","18,495","26,261","3,131","29,392","13,099","16,293","8,151","3,895","20,136","18,991","21,214","20,199","14,034","13,115","9,680","7,410","25,890","13,378","45,010","6,981","170,688","4,127","35,570","18,516","17,225","8,111","18,345","10,405"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.9%","61.7%","4.6%","17.3%","18.8%","21.0%","29.8%","3.6%","33.4%","30.5%","36.1%","(X)","47.8%","(X)","94.3%","(X)","95.2%","(X)","93.5%","(X)","76.5%","(X)","51.7%","(X)","15.5%","(X)","2.4%","(X)","52.1%","(X)","47.1%","(X)","56.7%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2,658","49,380","3,631","13,448","15,162","17,139","20,410","1,484","21,894","10,017","11,877","(X)","2,509","(X)","16,598","(X)","18,382","(X)","12,215","(X)","5,655","(X)","10,217","(X)","5,379","(X)","2,977","(X)","13,771","(X)","6,224","(X)","7,547"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83.9%","61.0%","90.9%","90.3%","88.1%","91.5%","92.7%","77.7%","47.4%","74.5%","76.5%","72.9%","(X)","64.4%","(X)","87.4%","(X)","91.0%","(X)","93.1%","(X)","76.3%","(X)","76.4%","(X)","77.1%","(X)","72.1%","(X)","74.4%","(X)","76.7%","(X)","72.5%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1,700","4,966","388","1,814","1,408","1,356","5,851","1,647","7,498","3,082","4,416","(X)","1,386","(X)","2,393","(X)","1,817","(X)","900","(X)","1,755","(X)","3,161","(X)","1,602","(X)","1,150","(X)","4,745","(X)","1,887","(X)","2,858"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16.1%","39.0%","9.1%","9.7%","11.9%","8.5%","7.3%","22.3%","52.6%","25.5%","23.5%","27.1%","(X)","35.6%","(X)","12.6%","(X)","9.0%","(X)","6.9%","(X)","23.7%","(X)","23.6%","(X)","22.9%","(X)","27.9%","(X)","25.6%","(X)","23.3%","(X)","27.5%"
